Code_INEGI,Municipality,Area_ID,Area,Students
1001,Aguascalientes,1,Education,4346
1001,Aguascalientes,2,Arts and Humanities,2430
1001,Aguascalientes,3,social sciences and law,7064
1001,Aguascalientes,4,Business Administration,13992
1001,Aguascalientes,5,"natural sciences, mathematics and statistics",744
1001,Aguascalientes,6,Technology of the information and communication,2932
1001,Aguascalientes,7,"Engineering, manufacturing and construction",13503
1001,Aguascalientes,9,Health Sciences,5501
1001,Aguascalientes,10,Services,916
1003,Calvillo,4,Business Administration,194
1003,Calvillo,6,Technology of the information and communication,33
1003,Calvillo,7,"Engineering, manufacturing and construction",136
1003,Calvillo,10,Services,57
1006,Pabellón de Arteaga,4,Business Administration,746
1006,Pabellón de Arteaga,6,Technology of the information and communication,42
1006,Pabellón de Arteaga,7,"Engineering, manufacturing and construction",701
1007,Rincón de Romos,1,Education,565
1007,Rincón de Romos,3,social sciences and law,65
1007,Rincón de Romos,4,Business Administration,1304
1007,Rincón de Romos,6,Technology of the information and communication,321
1007,Rincón de Romos,7,"Engineering, manufacturing and construction",1358
1007,Rincón de Romos,8,Agriculture and Veterinary,186
1007,Rincón de Romos,9,Health Sciences,100
1010,El Llano,2,Arts and Humanities,251
1010,El Llano,4,Business Administration,858
1010,El Llano,5,"natural sciences, mathematics and statistics",97
1010,El Llano,6,Technology of the information and communication,263
1010,El Llano,7,"Engineering, manufacturing and construction",254
1010,El Llano,8,Agriculture and Veterinary,375
2001,Ensenada,1,Education,2029
2001,Ensenada,2,Arts and Humanities,891
2001,Ensenada,3,social sciences and law,4825
2001,Ensenada,4,Business Administration,4497
2001,Ensenada,5,"natural sciences, mathematics and statistics",1756
2001,Ensenada,6,Technology of the information and communication,852
2001,Ensenada,7,"Engineering, manufacturing and construction",4022
2001,Ensenada,8,Agriculture and Veterinary,601
2001,Ensenada,9,Health Sciences,2421
2001,Ensenada,10,Services,1455
2002,Mexicali,1,Education,4185
2002,Mexicali,2,Arts and Humanities,1838
2002,Mexicali,3,social sciences and law,9623
2002,Mexicali,4,Business Administration,9598
