CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,POB_TOT,ANALF,SBASC,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL.5000,PO2SM,IM_2020,GM_2020
1,Aguascalientes,1001,Aguascalientes,948990,1.644737773,20.3672204,0.1047986996,0.1131690404,0.3786096665,10.33952999,0.5914338004,7.523683074,54.22659412,60.2778113,Muy bajo
1,Aguascalientes,1002,Asientos,51536,3.526405451,33.90636439,2.650372648,0.4864475707,0.8581603067,22.94230461,1.352429508,78.22104936,78.56547123,56.50520307,Muy bajo
1,Aguascalientes,1003,Calvillo,58250,4.49150907,42.48244984,0.3651772488,0.5167602577,0.8009783994,19.21985817,1.040410652,51.30128755,79.25977654,57.01735858,Muy bajo
1,Aguascalientes,1004,Cosío,17000,3.144867339,27.69674548,0.7128549546,0.5773535996,0.6598326853,22.71686554,1.030988571,65.47058824,81.72636894,57.07315643,Muy bajo
1,Aguascalientes,1005,Jesús María,129929,2.38058754,26.69247715,0.2770339617,0.3549574437,0.8604258143,16.40457535,1.312651927,37.16414349,56.74875338,58.97081805,Muy bajo
1,Aguascalientes,1006,Pabellón de Arteaga,47646,2.732338666,25.72428031,0.5413375461,0.4254870985,1.0447604,19.07595444,0.7056345445,32.76455526,64.33501116,58.58382961,Muy bajo
1,Aguascalientes,1007,Rincón de Romos,57369,3.445916842,27.09434273,0.9658702473,0.5013409995,1.027223167,20.97550201,1.302663184,44.28524116,76.64397175,57.60576474,Muy bajo
1,Aguascalientes,1008,San José de Gracia,9552,2.439772902,28.41994033,2.107139113,0.9225285669,1.708774505,21.57275009,0.8596288919,41.30025126,75.41093593,57.4866092,Muy bajo
1,Aguascalientes,1009,Tepezalá,22485,4.235218509,35.08627758,1.385041551,0.5852917523,1.085693861,22.98573875,1.429720311,76.76228597,76.94355698,56.56344709,Muy bajo
1,Aguascalientes,1010,El Llano,20853,3.898421414,34.75771316,2.321130631,1.030523113,1.78133281,21.81678581,1.452546864,69.75495133,76.33609202,56.51490855,Muy bajo
