Codigo_INEGI,Muncipio,ID_Grado_academico,Grado_Academico,Poblacion
1001,Aguascalientes,0,Undefined,36881
1001,Aguascalientes,1,Preschool or Kindergarden,45643
1001,Aguascalientes,2,Primary School,198785
1001,Aguascalientes,3,Middle School,220333
1001,Aguascalientes,4,High School or General Baccalaureate,138060
1001,Aguascalientes,5,Technical Baccalaureate or Normal Basic Education,28580
1001,Aguascalientes,6,"Technical or Comercial Studies, and Finished Primary School",4977
1001,Aguascalientes,7,"Technical or Comercial Studies, and Finished Middle School",12194
1001,Aguascalientes,8,"Technical or Comercial Studies, and Finished High School",14236
1001,Aguascalientes,9,"Normal Studies, and Finished Primary or Middle School",1482
1001,Aguascalientes,10,Normal Bachelor's Degree,4218
1001,Aguascalientes,11,Bachelor's Degree,171292
1001,Aguascalientes,12,Specialty,4554
1001,Aguascalientes,13,Master Degree,15850
1001,Aguascalientes,14,PhD,2784
1001,Aguascalientes,99,No Specified,1393
1002,Asientos,0,Undefined,3227
1002,Asientos,1,Preschool or Kindergarden,2462
1002,Asientos,2,Primary School,16426
1002,Asientos,3,Middle School,15458
1002,Asientos,4,High School or General Baccalaureate,6149
1002,Asientos,5,Technical Baccalaureate or Normal Basic Education,949
1002,Asientos,6,"Technical or Comercial Studies, and Finished Primary School",5
1002,Asientos,7,"Technical or Comercial Studies, and Finished Middle School",55
1002,Asientos,8,"Technical or Comercial Studies, and Finished High School",282
1002,Asientos,9,"Normal Studies, and Finished Primary or Middle School",90
1002,Asientos,10,Normal Bachelor's Degree,231
1002,Asientos,11,Bachelor's Degree,2767
1002,Asientos,12,Specialty,22
1002,Asientos,13,Master Degree,80
1002,Asientos,14,PhD,14
1002,Asientos,99,No Specified,58
1003,Calvillo,0,Undefined,4167
1003,Calvillo,1,Preschool or Kindergarden,2422
1003,Calvillo,2,Primary School,21209
1003,Calvillo,3,Middle School,16149
1003,Calvillo,4,High School or General Baccalaureate,6115
1003,Calvillo,5,Technical Baccalaureate or Normal Basic Education,786
1003,Calvillo,6,"Technical or Comercial Studies, and Finished Primary School",63
1003,Calvillo,7,"Technical or Comercial Studies, and Finished Middle School",174
1003,Calvillo,8,"Technical or Comercial Studies, and Finished High School",576
1003,Calvillo,9,"Normal Studies, and Finished Primary or Middle School",12
1003,Calvillo,10,Normal Bachelor's Degree,199
1003,Calvillo,11,Bachelor's Degree,2885
1003,Calvillo,12,Specialty,40
1003,Calvillo,13,Master Degree,136
1003,Calvillo,14,PhD,20
1003,Calvillo,99,No Specified,66
1004,Cosío,0,Undefined,836
1004,Cosío,1,Preschool or Kindergarden,1189
