Codigo_INEGI,Muncipio,ID_Alfabeta,Alfabeta,poblacion
1001,Aguascalientes,1,Yes,835298
1001,Aguascalientes,3,No,33166
1001,Aguascalientes,9,Not Specified,1277
1002,Asientos,1,Yes,42882
1002,Asientos,3,No,2975
1002,Asientos,9,Not Specified,58
1003,Calvillo,1,Yes,49251
1003,Calvillo,3,No,3314
1003,Calvillo,9,Not Specified,56
1004,Cosío,1,Yes,14298
1004,Cosío,3,No,901
1004,Cosío,9,Not Specified,19
1005,Jesús María,1,Yes,110887
1005,Jesús María,3,No,6309
1005,Jesús María,9,Not Specified,127
1006,Pabellón de Arteaga,1,Yes,40379
1006,Pabellón de Arteaga,3,No,2500
1006,Pabellón de Arteaga,9,Not Specified,70
1007,Rincón de Romos,1,Yes,47181
1007,Rincón de Romos,3,No,3712
1007,Rincón de Romos,9,Not Specified,92
1008,San José de Gracia,1,Yes,7979
1008,San José de Gracia,3,No,477
1008,San José de Gracia,9,Not Specified,9
1009,Tepezalá,1,Yes,18689
1009,Tepezalá,3,No,1476
1009,Tepezalá,9,Not Specified,15
1010,El Llano,1,Yes,16757
1010,El Llano,3,No,1347
1010,El Llano,9,Not Specified,14
1011,San Francisco de los Romo,1,Yes,51492
1011,San Francisco de los Romo,3,No,3191
1011,San Francisco de los Romo,9,Not Specified,32
2001,Ensenada,1,Yes,386999
2001,Ensenada,3,No,20621
2001,Ensenada,9,Not Specified,1100
2002,Mexicali,1,Yes,931246
2002,Mexicali,3,No,40743
2002,Mexicali,9,Not Specified,2973
2003,Tecate,1,Yes,89391
2003,Tecate,3,No,4882
2003,Tecate,9,Not Specified,213
2004,Tijuana,1,Yes,1681228
2004,Tijuana,3,No,75615
2004,Tijuana,9,Not Specified,7503
2005,Playas de Rosarito,1,Yes,112656
2005,Playas de Rosarito,3,No,4649
2005,Playas de Rosarito,9,Not Specified,868
2006,San Quintín,1,Yes,93187
2006,San Quintín,3,No,11524
2006,San Quintín,9,Not Specified,94
3001,Comondú,1,Yes,62636
3001,Comondú,3,No,4389
3001,Comondú,9,Not Specified,84
3002,Mulegé,1,Yes,54184
3002,Mulegé,3,No,3483
3002,Mulegé,9,Not Specified,83
3003,La Paz,1,Yes,258839
3003,La Paz,3,No,11515
3003,La Paz,9,Not Specified,469
3008,Los Cabos,1,Yes,298486
3008,Los Cabos,3,No,17108
3008,Los Cabos,9,Not Specified,1442
3009,Loreto,1,Yes,15751
3009,Loreto,3,No,829
3009,Loreto,9,Not Specified,50
4001,Calkiní,1,Yes,47255
4001,Calkiní,3,No,6908
4001,Calkiní,9,Not Specified,53
4002,Campeche,1,Yes,255517
4002,Campeche,3,No,15405
4002,Campeche,9,Not Specified,295
4003,Carmen,1,Yes,212864
4003,Carmen,3,No,15596
4003,Carmen,9,Not Specified,348
4004,Champotón,1,Yes,63032
4004,Champotón,3,No,7864
4004,Champotón,9,Not Specified,75
4005,Hecelchakán,1,Yes,26579
4005,Hecelchakán,3,No,2976
4005,Hecelchakán,9,Not Specified,20
4006,Hopelchén,1,Yes,33016
4006,Hopelchén,3,No,4250
4006,Hopelchén,9,Not Specified,67
4007,Palizada,1,Yes,7088
4007,Palizada,3,No,850
4007,Palizada,9,Not Specified,3
4008,Tenabo,1,Yes,9269
4008,Tenabo,3,No,1213
4008,Tenabo,9,Not Specified,9
4009,Escárcega,1,Yes,48618
4009,Escárcega,3,No,5744
4009,Escárcega,9,Not Specified,26
4010,Calakmul,1,Yes,23538
4010,Calakmul,3,No,4079
4010,Calakmul,9,Not Specified,18
4011,Candelaria,1,Yes,34465
4011,Candelaria,3,No,7198
4011,Candelaria,9,Not Specified,35
4012,Seybaplaya,9,Not Specified,14172
5001,Abasolo,1,Yes,898
5001,Abasolo,3,No,47
5001,Abasolo,9,Not Specified,1
5002,Acuña,1,Yes,139451
5002,Acuña,3,No,7496
5002,Acuña,9,Not Specified,114
5003,Allende,1,Yes,19757
5003,Allende,3,No,978
5003,Allende,9,Not Specified,66
5004,Arteaga,1,Yes,24884
5004,Arteaga,3,No,1975
5004,Arteaga,9,Not Specified,146
5005,Candela,1,Yes,1355
5005,Candela,3,No,139
5005,Candela,9,Not Specified,1
5006,Castaños,1,Yes,25055
5006,Castaños,3,No,1240
5006,Castaños,9,Not Specified,98
5007,Cuatro Ciénegas,1,Yes,10586
5007,Cuatro Ciénegas,3,No,764
5007,Cuatro Ciénegas,9,Not Specified,43
5008,Escobedo,1,Yes,2582
5008,Escobedo,3,No,197
5008,Escobedo,9,Not Specified,3
5009,Francisco I. Madero,1,Yes,48833
5009,Francisco I. Madero,3,No,3800
5009,Francisco I. Madero,9,Not Specified,181
5010,Frontera,1,Yes,71100
5010,Frontera,3,No,3076
5010,Frontera,9,Not Specified,134
5011,General Cepeda,1,Yes,9850
5011,General Cepeda,3,No,943
5011,General Cepeda,9,Not Specified,23
5012,Guerrero,1,Yes,1367
5012,Guerrero,3,No,140
5012,Guerrero,9,Not Specified,4
5013,Hidalgo,1,Yes,1409
5013,Hidalgo,3,No,122
5014,Jiménez,1,Yes,7903
5014,Jiménez,3,No,559
5015,Juárez,1,Yes,1369
5015,Juárez,3,No,69
5016,Lamadrid,1,Yes,1524
5016,Lamadrid,3,No,95
5016,Lamadrid,9,Not Specified,6
5017,Matamoros,1,Yes,100716
5017,Matamoros,3,No,6869
5017,Matamoros,9,Not Specified,245
5018,Monclova,1,Yes,207125
5018,Monclova,3,No,8453
5018,Monclova,9,Not Specified,473
5019,Morelos,1,Yes,6863
5019,Morelos,3,No,349
5019,Morelos,9,Not Specified,37
5020,Múzquiz,1,Yes,61162
5020,Múzquiz,3,No,3512
5020,Múzquiz,9,Not Specified,240
5021,Nadadores,1,Yes,5758
5021,Nadadores,3,No,236
5021,Nadadores,9,Not Specified,37
5022,Nava,1,Yes,28549
5022,Nava,3,No,1511
5022,Nava,9,Not Specified,68
5023,Ocampo,1,Yes,7992
5023,Ocampo,3,No,604
5023,Ocampo,9,Not Specified,14
5024,Parras,1,Yes,37642
5024,Parras,3,No,2559
5024,Parras,9,Not Specified,131
5025,Piedras Negras,1,Yes,151033
5025,Piedras Negras,3,No,7563
5025,Piedras Negras,9,Not Specified,309
5026,Progreso,1,Yes,2762
5026,Progreso,3,No,160
5026,Progreso,9,Not Specified,10
5027,Ramos Arizpe,1,Yes,102853
