Code_INEGI,Municipio,Total,Disponen_energía_eléctrica,No_disponen_energía_eléctrica,disponen_energía_eléctrica_No_esp,Disponen_agua_entubada,No_disponen_agua_entubada,disponen_agua_entubada_no_esp,Disponen_drenaje,No_disponen_drenaje,disponen_drenaje_no_esp
01 001,Aguascalientes,266508,265785,438,285,265232,989,287,265392,798,318
01 002,Asientos,12522,12420,95,7,12390,124,8,12067,447,8
01 003,Calvillo,15520,15398,112,10,15364,146,10,15407,103,10
01 004,Cosío,3931,3906,25,,3900,31,,3884,47,
01 010,El Llano,5208,5131,76,1,32845,286,40,32867,259,45
01 005,Jesús María,33171,32977,155,39,11306,122,12,11326,102,12
01 006,Pabellón de Arteaga,11440,11361,67,12,13364,148,38,13309,203,38
01 007,Rincón de Romos,13550,13422,90,38,2333,45,,2315,63,
01 011,San Francisco de los Romo,16370,16261,75,34,5335,64,14,5296,103,14
01 008,San José de Gracia,2378,2345,33,,5113,94,1,5009,198,1
01 009,Tepezalá,5413,5355,44,14,16248,88,34,16276,56,38
02 001,Ensenada,138858,136311,2359,188,132593,6077,188,131315,7347,196
02 002,Mexicali,329356,326832,2252,272,326350,2715,291,317589,11304,463
02 005,Playas de Rosarito,37155,36656,289,210,29710,1157,76,30115,752,76
02 006,San Quintín,32461,30570,1866,25,566740,6823,1915,568228,5293,1957
02 003,Tecate,30943,30379,488,76,35082,1860,213,36087,855,213
02 004,Tijuana,575478,571874,1693,1911,27244,5191,26,18239,14194,28
03 001,Comondú,22110,21738,356,16,21674,420,16,21152,939,19
03 003,La Paz,91038,89585,1141,312,18632,566,41,16988,2208,43
03 009,Loreto,5560,5476,75,9,88540,2184,314,89503,1214,321
03 008,Los Cabos,101411,99731,810,870,91906,8624,881,98836,1644,931
03 002,Mulegé,19239,18755,444,40,5372,179,9,5385,165,10
04 010,Calakmul,8025,7818,202,5,14953,299,25,13413,1839,25
04 001,Calkiní,15277,15116,136,25,84383,637,160,83662,1350,168
04 002,Campeche,85180,84565,455,160,66952,3998,997,69948,979,1020
04 011,Candelaria,13256,12242,989,25,20708,713,14,19674,1746,15
04 003,Carmen,71947,70327,624,996,8087,201,,7412,876,
04 004,Champotón,21435,21011,410,14,10058,154,17,8829,1383,17
