cve_ent,cve_mun,nom_ent,nom_mun,conteo_aeropuertos
1,1,Aguascalientes,Aguascalientes,1
1,2,Aguascalientes,Asientos,1
1,3,Aguascalientes,Calvillo,1
1,4,Aguascalientes,Cosío,1
1,5,Aguascalientes,Jesús María,1
1,6,Aguascalientes,Pabellón de Arteaga,1
1,7,Aguascalientes,Rincón de Romos,1
1,8,Aguascalientes,San José de Gracia,1
1,9,Aguascalientes,Tepezalá,1
1,10,Aguascalientes,El Llano,1
1,11,Aguascalientes,San Francisco de los Romo,1
2,1,Baja California,Ensenada,80
2,2,Baja California,Mexicali,80
2,3,Baja California,Tecate,80
2,4,Baja California,Tijuana,80
2,5,Baja California,Playas de Rosarito,80
2,6,Baja California,San Quintín,80
3,1,Baja California Sur,Comondú,50
3,2,Baja California Sur,Mulegé,50
3,3,Baja California Sur,La Paz,50
3,8,Baja California Sur,Los Cabos,50
3,9,Baja California Sur,Loreto,50
4,1,Campeche,Calkiní,17
4,2,Campeche,Campeche,17
4,3,Campeche,Carmen,17
4,4,Campeche,Champotón,17
4,5,Campeche,Hecelchakán,17
4,6,Campeche,Hopelchén,17
4,7,Campeche,Palizada,17
4,8,Campeche,Tenabo,17
4,9,Campeche,Escárcega,17
4,10,Campeche,Calakmul,17
4,11,Campeche,Candelaria,17
4,12,Campeche,Seybaplaya,17
4,13,Campeche,Dzitbalché,17
7,1,Chiapas,Acacoyagua,29
7,2,Chiapas,Acala,29
7,3,Chiapas,Acapetahua,29
7,4,Chiapas,Altamirano,29
7,5,Chiapas,Amatán,29
7,6,Chiapas,Amatenango de la Frontera,29
7,7,Chiapas,Amatenango del Valle,29
7,8,Chiapas,Ángel Albino Corzo,29
7,9,Chiapas,Arriaga,29
7,10,Chiapas,Bejucal de Ocampo,29
7,11,Chiapas,Bella Vista,29
7,12,Chiapas,Berriozábal,29
7,13,Chiapas,Bochil,29
7,14,Chiapas,El Bosque,29
7,15,Chiapas,Cacahoatán,29
7,16,Chiapas,Catazajá,29
7,17,Chiapas,Cintalapa,29
7,18,Chiapas,Coapilla,29
7,19,Chiapas,Comitán de Domínguez,29
7,20,Chiapas,La Concordia,29
7,21,Chiapas,Copainalá,29
7,22,Chiapas,Chalchihuitán,29
7,23,Chiapas,Chamula,29
7,24,Chiapas,Chanal,29
7,25,Chiapas,Chapultenango,29
7,26,Chiapas,Chenalhó,29
7,27,Chiapas,Chiapa de Corzo,29
7,28,Chiapas,Chiapilla,29
7,29,Chiapas,Chicoasén,29
7,30,Chiapas,Chicomuselo,29
7,31,Chiapas,Chilón,29
7,32,Chiapas,Escuintla,29
7,33,Chiapas,Francisco León,29
7,34,Chiapas,Frontera Comalapa,29
7,35,Chiapas,Frontera Hidalgo,29
7,36,Chiapas,La Grandeza,29
7,37,Chiapas,Huehuetán,29
7,38,Chiapas,Huixtán,29
7,39,Chiapas,Huitiupán,29
7,40,Chiapas,Huixtla,29
7,41,Chiapas,La Independencia,29
7,42,Chiapas,Ixhuatán,29
7,43,Chiapas,Ixtacomitán,29
7,44,Chiapas,Ixtapa,29
7,45,Chiapas,Ixtapangajoya,29
7,46,Chiapas,Jiquipilas,29
7,47,Chiapas,Jitotol,29
7,48,Chiapas,Juárez,29
7,49,Chiapas,Larráinzar,29
7,50,Chiapas,La Libertad,29
7,51,Chiapas,Mapastepec,29
7,52,Chiapas,Las Margaritas,29
7,53,Chiapas,Mazapa de Madero,29
7,54,Chiapas,Mazatán,29
7,55,Chiapas,Metapa,29
7,56,Chiapas,Mitontic,29
7,57,Chiapas,Motozintla,29
7,58,Chiapas,Nicolás Ruíz,29
7,59,Chiapas,Ocosingo,29
7,60,Chiapas,Ocotepec,29
7,61,Chiapas,Ocozocoautla de Espinosa,29
7,62,Chiapas,Ostuacán,29
7,63,Chiapas,Osumacinta,29
7,64,Chiapas,Oxchuc,29
7,65,Chiapas,Palenque,29
7,66,Chiapas,Pantelhó,29
7,67,Chiapas,Pantepec,29
7,68,Chiapas,Pichucalco,29
7,69,Chiapas,Pijijiapan,29
7,70,Chiapas,El Porvenir,29
7,71,Chiapas,Villa Comaltitlán,29
7,72,Chiapas,Pueblo Nuevo Solistahuacán,29
7,73,Chiapas,Rayón,29
7,74,Chiapas,Reforma,29
7,75,Chiapas,Las Rosas,29
7,76,Chiapas,Sabanilla,29
7,77,Chiapas,Salto de Agua,29
7,78,Chiapas,San Cristóbal de las Casas,29
7,79,Chiapas,San Fernando,29
7,80,Chiapas,Siltepec,29
7,81,Chiapas,Simojovel,29
7,82,Chiapas,Sitalá,29
7,83,Chiapas,Socoltenango,29
7,84,Chiapas,Solosuchiapa,29
7,85,Chiapas,Soyaló,29
7,86,Chiapas,Suchiapa,29
7,87,Chiapas,Suchiate,29
7,88,Chiapas,Sunuapa,29
7,89,Chiapas,Tapachula,29
7,90,Chiapas,Tapalapa,29
7,91,Chiapas,Tapilula,29
7,92,Chiapas,Tecpatán,29
7,93,Chiapas,Tenejapa,29
7,94,Chiapas,Teopisca,29
7,96,Chiapas,Tila,29
7,97,Chiapas,Tonalá,29
7,98,Chiapas,Totolapa,29
7,99,Chiapas,La Trinitaria,29
7,100,Chiapas,Tumbalá,29
7,101,Chiapas,Tuxtla Gutiérrez,29
7,102,Chiapas,Tuxtla Chico,29
7,103,Chiapas,Tuzantán,29
7,104,Chiapas,Tzimol,29
7,105,Chiapas,Unión Juárez,29
7,106,Chiapas,Venustiano Carranza,29
7,107,Chiapas,Villa Corzo,29
7,108,Chiapas,Villaflores,29
7,109,Chiapas,Yajalón,29
7,110,Chiapas,San Lucas,29
7,111,Chiapas,Zinacantán,29
7,112,Chiapas,San Juan Cancuc,29
7,113,Chiapas,Aldama,29
7,114,Chiapas,Benemérito de las Américas,29
7,115,Chiapas,Maravilla Tenejapa,29
7,116,Chiapas,Marqués de Comillas,29
7,117,Chiapas,Montecristo de Guerrero,29
7,118,Chiapas,San Andrés Duraznal,29
7,119,Chiapas,Santiago el Pinar,29
7,120,Chiapas,Capitán Luis Ángel Vidal,29
7,121,Chiapas,Rincón Chamula San Pedro,29
7,122,Chiapas,El Parral,29
7,123,Chiapas,Emiliano Zapata,29
7,124,Chiapas,Mezcalapa,29
7,125,Chiapas,Honduras de la Sierra,29
8,1,Chihuahua,Ahumada,128
8,2,Chihuahua,Aldama,128
8,3,Chihuahua,Allende,128
8,4,Chihuahua,Aquiles Serdán,128
8,5,Chihuahua,Ascensión,128
8,6,Chihuahua,Bachíniva,128
8,7,Chihuahua,Balleza,128
8,8,Chihuahua,Batopilas de Manuel Gómez Morín,128
8,9,Chihuahua,Bocoyna,128
8,10,Chihuahua,Buenaventura,128
8,11,Chihuahua,Camargo,128
8,12,Chihuahua,Carichí,128
8,13,Chihuahua,Casas Grandes,128
8,14,Chihuahua,Coronado,128
8,15,Chihuahua,Coyame del Sotol,128
8,16,Chihuahua,La Cruz,128
8,17,Chihuahua,Cuauhtémoc,128
8,18,Chihuahua,Cusihuiriachi,128
8,19,Chihuahua,Chihuahua,128
8,20,Chihuahua,Chínipas,128
8,21,Chihuahua,Delicias,128
8,22,Chihuahua,Dr. Belisario Domínguez,128
8,23,Chihuahua,Galeana,128
8,24,Chihuahua,Santa Isabel,128
8,25,Chihuahua,Gómez Farías,128
8,26,Chihuahua,Gran Morelos,128
8,27,Chihuahua,Guachochi,128
8,28,Chihuahua,Guadalupe,128
8,29,Chihuahua,Guadalupe y Calvo,128
8,30,Chihuahua,Guazapares,128
8,31,Chihuahua,Guerrero,128
8,32,Chihuahua,Hidalgo del Parral,128
8,33,Chihuahua,Huejotitán,128
8,34,Chihuahua,Ignacio Zaragoza,128
8,35,Chihuahua,Janos,128
8,36,Chihuahua,Jiménez,128
8,37,Chihuahua,Juárez,128
8,38,Chihuahua,Julimes,128
8,39,Chihuahua,López,128
8,40,Chihuahua,Madera,128
8,41,Chihuahua,Maguarichi,128
8,42,Chihuahua,Manuel Benavides,128
8,43,Chihuahua,Matachí,128
8,44,Chihuahua,Matamoros,128
8,45,Chihuahua,Meoqui,128
8,46,Chihuahua,Morelos,128
8,47,Chihuahua,Moris,128
8,48,Chihuahua,Namiquipa,128
8,49,Chihuahua,Nonoava,128
8,50,Chihuahua,Nuevo Casas Grandes,128
8,51,Chihuahua,Ocampo,128
