CVEGEO,ANUIES_Education,ANUIES_Arts and Humanities,ANUIES_social sciences and law,ANUIES_Business Administration,"ANUIES_natural sciences, mathematics and statistics",ANUIES_Technology of the information and communication,"ANUIES_Engineering, manufacturing and construction",ANUIES_Health Sciences,ANUIES_Services,ANUIES_Agriculture and Veterinary
1001,4346,2430,7064,13992,744,2932,13503,5501,916,375
1002,794,251,80,285,97,190,704,100,32,375
1003,4346,2430,7064,194,744,33,136,5501,57,186
1004,565,6773,65,1304,5720,321,1358,100,9487,186
1010,4346,251,7064,858,97,263,254,5501,916,375
1005,4346,2430,7064,13992,744,2932,13503,5501,916,186
1006,565,2430,65,746,744,42,701,100,916,186
1007,565,6773,65,1304,5720,321,1358,100,9487,186
1011,4346,251,7064,746,97,42,701,5501,916,375
1008,565,6773,65,1304,5720,321,1358,100,57,186
1009,565,6773,65,1304,5720,321,1358,100,32,186
2001,2029,891,4825,4497,1756,852,4022,2421,1455,601
2002,4185,1838,9623,9598,7,1355,11468,6349,1115,1349
2005,268,3200,336,377,1301,3235,18345,142,10,27
2006,,,,,,,,,,
2003,193,3200,428,816,1301,3235,499,9778,1878,27
2004,5176,3200,16545,18340,1301,3235,18345,9778,1878,27
3001,388,534,83,679,738,105,539,110,182,324
3003,551,282,1008,2351,31,330,872,231,1018,2355
3009,388,534,83,679,738,105,539,110,182,324
3008,551,282,1008,2351,31,330,872,231,1018,178
3002,70,2048,63,321,2718,52,382,8783,14,1384
4010,55,532,36,77,1,116,168,113,44,197
4001,458,465,183,320,652,275,896,4188,155,368
4002,2360,465,4753,4172,652,691,2685,4188,580,551
4011,55,420,36,306,1,57,168,26,22,102
4003,709,420,1251,2325,181,570,3327,1172,47,102
4004,2360,465,146,443,652,114,223,4188,178,15
4009,55,420,36,306,1,116,168,113,309,197
4005,241,465,4753,320,652,275,896,4188,155,368
4006,100,465,133,263,652,70,90,83,340,171
4007,709,420,1251,2325,181,570,101,1172,47,339
4012,,,,,,,,,,
4008,241,465,4753,4172,652,691,2685,4188,580,551
5001,909,67,1201,3782,396,431,5133,892,14,149
5002,312,47,187,1296,189,358,2210,64,96,149
5003,227,47,314,452,114,151,1596,284,96,149
5004,493,1056,1782,3025,1340,132,2165,3641,1510,3
5005,909,67,1201,3782,396,431,5133,892,14,1600
5006,909,67,1201,5,396,431,5133,892,14,1600
5007,909,67,1201,949,396,255,818,892,14,149
5008,909,67,1201,3782,396,431,5133,892,14,149
5009,1374,601,1772,949,524,255,818,1887,147,321
5010,909,67,1201,3782,396,431,5133,892,14,149
5011,4,24,10,614,280,306,2364,4062,31,45
5012,532,47,314,452,189,151,1596,284,96,68
5013,640,47,1013,6829,189,899,2877,1358,158,68
5014,532,47,972,1737,189,186,1635,1014,96,149
5015,227,67,314,772,114,256,1585,284,158,68
5016,909,67,1201,3782,396,431,5133,892,14,149
5017,1374,601,1772,2328,524,352,1815,1887,147,321
5018,909,67,1201,3782,396,431,5133,892,14,149
5019,227,47,86,428,114,31,735,284,96,149
5020,227,47,86,517,114,115,148,284,96,149
5021,909,67,1201,3782,396,431,5133,892,14,149
5022,532,47,972,452,189,151,1596,1014,96,68
5023,227,67,86,517,114,115,148,284,14,149
5024,175,24,80,96,280,57,173,4062,31,45
5025,532,47,972,1737,189,186,1635,1014,96,149
5026,909,67,314,772,396,256,1585,284,14,149
5027,4,24,10,614,280,306,2364,3641,14,1600
5028,227,47,314,772,114,256,1585,284,96,149
5029,909,67,1201,5,396,431,5133,892,14,149
5030,3243,1186,8039,10449,971,1146,14238,4062,270,2715
5031,227,67,86,428,114,31,735,284,14,149
5032,227,47,86,428,114,31,735,284,96,149
5033,1374,601,1772,949,524,255,818,1887,147,321
5034,476,601,1772,949,23,255,29,1887,147,83
5035,1552,751,6074,9452,82,1344,11366,3326,415,2427
5036,1552,751,6074,9452,82,1344,11366,3326,415,2427
5037,227,47,314,772,114,256,1585,284,96,149
5038,532,47,972,517,189,115,148,1014,96,149
6001,372,127,641,3074,28,266,1637,279,276,385
6002,1708,517,3478,2943,239,659,169,1971,145,842
6003,970,46,223,1822,28,449,1897,279,145,842
6004,970,127,153,1822,28,266,1637,279,145,842
6005,1708,517,223,2943,239,659,169,1971,145,842
6006,1708,517,3478,2943,239,659,169,1971,145,842
6007,372,35,641,3074,163,352,770,93,276,385
6008,970,46,153,1822,28,449,1897,279,276,385
6009,188,35,197,889,81,58,86,131,276,659
6010,970,46,153,1822,28,449,1897,279,145,842
7001,25,15,50,35,824,6,48,324,78,51
7002,60,37,43,27,278,274,558,1199,346,3
7003,139,471,50,35,824,6,48,324,78,723
7113,60,363,13,1327,278,6,558,1199,346,3
7004,1798,48,18,4,19,3,1040,279,32,59
7005,222,130,71,19,43,20,756,90,6,318
7006,97,471,138,297,824,140,44,82,78,82
7007,33,363,28,33,278,274,558,1199,346,3
7008,36,15,13,88,824,27,66,69,78,51
7009,46,2294,136,373,401,29,133,189,21,22
7010,25,471,13,26,824,27,44,82,78,51
7011,25,8,13,26,824,27,44,82,78,82
7114,1798,41,174,105,108,32,146,279,528,50
7012,36,2294,231,108,401,2721,12041,29,91,1247
7013,222,130,27,50,1120,7,28,90,1368,168
7015,194,471,15,214,824,1064,3022,2545,195,99
7120,25,15,50,35,824,6,44,324,78,51
7016,102,15,645,564,5,42,101,140,244,339
7022,222,130,13,50,31,6,15,90,346,3
7023,60,363,3851,1327,278,274,558,1199,346,3
7024,8,65,29,74,19,529,1040,1199,25,59
7025,415,11,4,844,43,31,17,222,6,52
7026,1225,363,13,1327,278,6,558,1199,346,3
7027,12314,37,116,12,1120,2721,12041,10296,1368,1247
7028,60,363,43,27,278,274,558,1199,346,3
7029,12314,2294,27,83,1120,15,28,10296,1368,168
7030,25,8,13,26,824,27,44,82,78,82
7031,44,64,233,30,104,12,15,140,19,339
7017,336,2294,429,265,401,272,1325,29,91,22
7018,222,130,95,83,1120,16,28,90,1368,168
7019,1798,8,1645,2277,19,529,1040,82,25,59
7021,36,2294,95,83,401,16,28,29,91,168
7014,222,130,13,50,278,6,28,90,346,3
