cvegeo,eci_2015,eci_2016,eci_2017,eci_2018,eci_2019,eci_2020,nombre
9014,3.740938431,3.65231662,3.639343723,3.661518408,3.525856675,3.610879919,Benito Juárez
9016,3.774323959,3.653582838,3.644735886,3.653135401,3.460074179,3.586565007,Miguel Hidalgo
9015,3.743856051,3.700553376,3.683763449,3.710048701,3.477146193,3.555679952,Cuauhtémoc
19039,3.602127674,3.5458564,3.538237061,3.545084364,3.46033602,3.539288153,Monterrey
14039,3.574441201,3.534360534,3.522736715,3.530704094,3.35122232,3.423257059,Guadalajara
2004,3.551830278,3.542853124,3.517224975,3.518143295,3.286123802,3.399273588,Tijuana
9010,3.361521847,3.368394563,3.319955187,3.373162763,3.25064149,3.377250971,Álvaro Obregón
19019,3.204351258,3.245856983,3.269133589,3.286064996,3.183385594,3.372227318,San Pedro Garza García
22014,3.443793661,3.469614524,3.442375612,3.452814004,3.314161501,3.353358455,Querétaro
15104,3.310085505,3.337249182,3.364129512,3.383369682,3.213771345,3.339978282,Tlalnepantla de Baz
11020,3.47752089,3.401659113,3.342660536,3.383387063,3.302055994,3.326104395,León
24028,3.452216326,3.424311757,3.392602359,3.399007825,3.300556362,3.325794895,San Luis Potosí
19006,3.312598813,3.302553952,3.277651565,3.296459312,3.191188019,3.295050733,Apodaca
14120,3.522489048,3.459059749,3.453382502,3.466220205,3.254817175,3.29451813,Zapopan
31050,3.338072158,3.264602228,3.256127571,3.253906174,3.154938319,3.247931188,Mérida
8037,3.396627986,3.375846489,3.35342587,3.35796081,3.201693308,3.245150811,Juárez
9002,3.342961912,3.345892312,3.318184088,3.348771221,3.137418101,3.22119557,Azcapotzalco
28032,3.279652332,3.227065168,3.209699646,3.250688944,3.12572633,3.218908382,Reynosa
19026,3.291498661,3.269551181,3.259705472,3.278770041,3.119272952,3.193489421,Guadalupe
26030,3.367561478,3.253967905,3.249528685,3.249278914,3.142428446,3.192239895,Hermosillo
8019,3.264798534,3.206501172,3.195076112,3.196626557,3.091253817,3.189326871,Chihuahua
15057,3.321019106,3.225218444,3.196885857,3.23895157,3.015321461,3.182466238,Naucalpan de Juárez
5035,3.112334366,3.128822063,3.119149664,3.129238847,3.031446293,3.172963796,Torreón
23005,3.17057712,3.211350347,3.210267736,3.237285966,2.963174454,3.148286599,Benito Juárez
21114,3.315399427,3.268811589,3.211912038,3.203343908,3.080265799,3.13654225,Puebla
1001,3.166965934,3.193342718,3.201542614,3.210578443,3.12594891,3.116991343,Aguascalientes
15121,3.078981931,3.055414992,3.046602322,3.030078649,3.019672907,3.109524313,Cuautitlán Izcalli
5030,3.112152826,3.057368911,3.040223376,3.053182146,3.032921844,3.088180201,Saltillo
14098,3.031364225,2.996088882,2.995760554,3.010078923,2.979697463,3.074684396,San Pedro Tlaquepaque
19021,2.84266553,2.885269348,2.876376274,2.88962205,2.913618001,3.064499245,General Escobedo
2002,3.230356015,3.175406973,3.169027235,3.169063814,2.949016349,3.036253137,Mexicali
9007,3.192686309,3.165858963,3.074888485,3.096573311,3.07647707,3.027454566,Iztapalapa
19046,3.236721806,3.207722746,3.20730453,3.226452825,3.060865629,3.026935957,San Nicolás de los Garza
9003,3.072186931,3.094920951,3.079989341,3.103783018,2.925771032,3.012232691,Coyoacán
9005,3.179228909,3.071287154,3.048060256,3.058839103,2.922817854,2.9795039,Gustavo A. Madero
28022,3.136099782,3.093984093,3.04415651,3.047714851,2.979833604,2.977538889,Matamoros
9004,2.690073413,2.790358441,2.812215774,2.863614725,2.899800437,2.960384159,Cuajimalpa de Morelos
22011,2.728465923,2.772187114,2.859158519,2.847629735,2.904761197,2.958864878,El Marqués
30193,2.981832795,2.974610528,2.969610671,2.971024145,2.869125896,2.956909039,Veracruz
9006,3.112562834,3.088945978,3.039235788,3.034967631,2.840565961,2.923600465,Iztacalco
9012,2.899998361,2.957639332,2.907981868,2.94465238,2.739280417,2.920976304,Tlalpan
11007,2.941626774,2.885139545,2.87506525,2.867802944,2.868463197,2.916996217,Celaya
19048,2.943111979,2.908856933,2.890889351,2.902592795,2.846264248,2.90731197,Santa Catarina
11017,2.909422289,2.847182596,2.845912814,2.875762662,2.796339696,2.901909209,Irapuato
27004,2.985157139,2.957962458,2.933690033,2.962655272,2.737424578,2.883376059,Centro
15106,3.020519657,3.025971509,2.921622974,2.918021677,2.835462338,2.879745899,Toluca
9017,2.976334066,3.003212217,2.956586805,2.965146153,2.858995867,2.862296293,Venustiano Carranza
25006,3.071760538,3.089367648,3.072840866,3.073051836,2.838622878,2.860543727,Culiacán
28027,2.881413116,2.973409161,2.936991195,2.969205621,2.822405866,2.857339357,Nuevo Laredo
25012,2.843563289,2.896901383,2.913463733,2.91488668,2.79791821,2.816019378,Mazatlán
15013,2.853280636,2.923300911,2.903586457,2.882060139,2.777549698,2.813849535,Atizapán de Zaragoza
10005,2.757810286,2.684392252,2.695732537,2.727374999,2.718816984,2.808828757,Durango
7101,2.849686115,2.81000668,2.811344524,2.808189348,2.715012779,2.805037243,Tuxtla Gutiérrez
30028,2.739445874,2.806488527,2.826191319,2.834732289,2.576326424,2.796079603,Boca del Río
3008,2.668131621,2.672329464,2.674239988,2.702899975,2.704422124,2.78816314,Los Cabos
16053,2.921867491,2.886970261,2.881752975,2.903524165,2.776080803,2.786582679,Morelia
2001,2.751492439,2.699574686,2.667698662,2.671333559,2.710090117,2.78488244,Ensenada
14097,2.68245605,2.734686827,2.762045528,2.811954215,2.684892567,2.774336377,Tlajomulco de Zúñiga
15109,2.632052782,2.606923613,2.627826427,2.625924654,2.657623535,2.749359749,Tultitlán
5027,2.673669206,2.655971992,2.645455983,2.65952876,2.654473321,2.740845742,Ramos Arizpe
17007,2.869079757,2.851268868,2.862770675,2.868148697,2.684365026,2.728615643,Cuernavaca
28038,2.688547203,2.831455118,2.825793888,2.838058952,2.573125668,2.695847804,Tampico
10007,2.59970486,2.626297169,2.599012889,2.610059708,2.616045153,2.695570039,Gómez Palacio
30039,2.758740933,2.737159737,2.744538458,2.730119821,2.580363792,2.692030189,Coatzacoalcos
26018,2.77671837,2.773575718,2.732866105,2.736467743,2.629103176,2.691112589,Cajeme
5018,2.678113869,2.647099303,2.674692007,2.685507399,2.622411405,2.68824991,Monclova
