entidad,subsector,UE_sin_ventas,UE_con_ventas
1,112,14,0
1,114,18,0
1,115,5,0
1,212,16,0
1,213,3,0
1,221,11,2
1,236,127,93
1,237,49,34
1,238,87,18
1,311,1559,47
1,312,195,6
1,313,19,3
1,314,203,23
1,315,410,33
1,316,39,5
1,321,433,14
1,322,72,10
1,323,220,47
1,324,1,0
1,325,56,14
1,326,77,18
1,327,237,16
1,331,15,3
1,332,937,70
1,333,63,17
1,334,13,4
1,335,7,2
1,336,82,18
1,337,365,26
1,339,180,29
1,431,424,38
1,432,53,10
1,433,85,19
1,434,904,103
1,435,336,111
1,436,55,19
1,437,4,1
1,461,8674,95
1,462,603,36
1,463,3113,160
1,464,783,51
1,465,3059,85
1,466,1597,135
1,467,1497,80
1,468,1072,152
1,469,4,1
1,483,3,0
1,484,76,42
1,485,42,9
1,487,2,2
1,488,62,12
1,491,1,0
1,492,4,1
1,493,2,2
1,511,16,6
1,512,5,10
1,515,8,1
1,517,25,6
1,518,3,2
1,519,2,1
1,522,173,26
1,523,26,0
1,524,67,15
1,531,740,50
1,532,268,32
1,533,1,0
1,541,1316,239
1,551,1,0
1,561,886,133
1,562,16,4
1,611,564,67
1,621,2335,160
1,622,28,4
1,623,41,2
1,624,324,4
1,711,44,6
1,712,7,1
1,713,468,20
1,721,109,46
1,722,7640,134
1,811,4207,152
1,812,3436,82
1,813,288,8
2,112,50,3
2,114,292,10
2,115,33,2
2,212,33,2
2,221,5,5
2,236,215,72
2,237,92,27
2,238,220,30
2,311,2216,39
2,312,703,25
2,313,22,3
2,314,82,12
2,315,513,48
2,316,25,8
2,321,351,15
2,322,157,23
2,323,459,59
2,324,4,2
2,325,79,18
2,326,165,40
2,327,361,23
2,331,30,5
2,332,1128,65
2,333,83,16
2,334,132,32
2,335,67,14
2,336,89,27
2,337,527,34
2,339,352,61
2,431,564,80
2,432,49,15
2,433,188,32
2,434,1632,196
2,435,659,134
2,436,82,15
2,437,5,1
2,461,15517,88
2,462,2205,256
2,463,4484,139
2,464,1973,181
2,465,4638,128
2,466,4887,190
2,467,2003,110
2,468,2747,251
2,469,1,2
2,482,2,0
2,483,4,1
2,484,239,108
2,485,67,9
2,487,24,2
2,488,458,64
2,491,1,0
2,492,27,9
2,493,29,4
2,511,27,5
2,512,15,33
2,515,53,6
2,517,44,9
2,518,7,3
2,519,16,1
2,522,440,92
2,523,464,3
2,524,235,31
2,531,1473,98
2,532,623,74
2,541,3346,311
2,551,1,0
2,561,1574,173
2,562,63,10
2,611,1514,130
2,621,5741,247
2,622,130,6
2,623,178,4
2,624,757,13
2,711,69,9
2,712,28,1
2,713,940,54
2,721,539,103
2,722,12231,286
2,811,10433,208
2,812,7820,128
2,813,694,17
3,112,22,5
3,114,691,5
3,115,11,1
3,212,28,5
3,213,1,0
3,221,3,2
3,236,96,108
3,237,23,18
3,238,77,6
3,311,881,23
3,312,302,3
3,313,5,0
3,314,28,0
3,315,137,7
3,316,3,0
3,321,219,8
3,322,22,3
3,323,100,11
3,325,13,1
3,326,20,2
3,327,145,8
3,332,474,11
3,333,8,1
3,335,2,1
3,336,9,0
3,337,158,10
3,339,60,6
3,431,196,34
3,432,6,3
3,433,52,8
3,434,422,54
3,435,155,26
3,436,20,6
3,461,3636,45
3,462,1293,34
3,463,1189,86
3,464,456,50
3,465,1567,51
3,466,869,72
3,467,635,57
3,468,717,61
3,469,2,0
3,483,15,1
3,484,57,5
3,485,25,14
3,487,111,44
3,488,64,8
3,491,1,0
3,492,5,3
3,493,3,0
3,511,11,5
3,512,5,9
3,515,7,2
3,517,16,1
3,518,1,1
3,519,4,2
3,522,145,19
3,523,3,1
3,524,37,2
3,531,490,66
3,532,215,82
3,533,1,0
3,541,821,122
3,561,411,77
3,562,20,0
3,611,378,29
3,621,931,61
3,622,28,1
3,623,24,0
3,624,216,2
3,711,18,3
3,712,12,3
3,713,360,37
3,721,298,129
3,722,4245,133
3,811,2941,59
3,812,1831,50
3,813,277,16
4,112,81,1
4,114,1040,0
4,115,1,1
4,211,5,0
4,212,5,1
4,213,5,1
4,221,11,0
4,236,71,29
4,237,68,18
4,238,44,8
4,311,1149,24
4,312,201,4
4,313,342,0
4,314,604,3
4,315,361,15
4,316,5,0
4,321,198,5
4,322,58,3
4,323,86,9
4,324,4,2
4,325,7,2
4,326,4,1
4,327,33,2
4,332,443,7
4,333,1,0
4,335,2,0
4,336,1,0
4,337,157,4
4,339,108,6
4,431,245,17
4,432,4,4
4,433,42,2
4,434,518,53
4,435,133,39
4,436,10,4
4,461,8308,31
4,462,569,15
4,463,1622,51
4,464,455,30
4,465,1646,44
4,466,765,42
4,467,622,38
4,468,542,57
4,469,2,0
4,483,5,0
4,484,33,5
4,485,35,4
4,487,5,0
4,488,61,14
4,491,1,0
4,492,8,1
4,493,7,3
4,511,15,2
4,512,5,5
4,515,16,5
4,517,40,8
4,518,5,0
4,519,5,0
4,522,176,22
4,524,41,2
4,531,234,13
4,532,187,18
4,541,651,83
4,551,1,0
4,561,535,73
4,562,18,2
4,611,360,37
4,621,924,62
4,622,11,1
4,623,20,0
4,624,206,6
4,711,40,2
4,712,1,0
4,713,347,7
4,721,311,59
4,722,4743,122
4,811,2581,56
4,812,1585,46
4,813,250,2
5,112,17,1
5,114,24,0
5,115,30,2
5,212,149,25
5,213,5,1
5,221,35,10
5,236,245,68
5,237,91,28
5,238,243,36
5,311,3571,56
5,312,293,10
5,313,11,0
5,314,96,13
5,315,426,28
5,316,29,1
5,321,465,18
5,322,147,15
5,323,440,56
5,324,6,1
5,325,86,18
5,326,100,34
5,327,386,29
5,331,62,19
5,332,1658,175
5,333,114,31
5,334,19,6
5,335,32,5
5,336,189,35
5,337,504,36
5,339,206,10
5,431,441,63
5,432,53,13
5,433,121,18
5,434,1710,208
5,435,538,155
5,436,80,10
5,437,4,1
5,461,17861,125
5,462,2606,210
5,463,3881,122
5,464,1691,79
5,465,4533,181
5,466,3011,178
5,467,2198,163
5,468,2167,266
5,481,1,1
5,482,1,0
5,484,267,91
5,485,141,20
5,486,3,0
5,487,3,1
5,488,160,25
5,491,1,0
5,492,15,9
5,493,8,2
5,511,32,8
5,512,23,22
5,515,52,6
5,517,75,10
5,518,3,0
5,519,11,0
5,522,516,68
5,523,105,1
5,524,151,30
5,531,1374,69
5,532,644,76
5,533,3,0
5,541,2302,306
5,551,8,0
5,561,1227,176
5,562,34,8
5,611,1203,136
5,621,3558,289
5,622,68,11
5,623,80,1
5,624,547,8
5,711,83,11
5,712,13,2
5,713,940,32
5,721,292,61
5,722,10877,245
5,811,8728,267
5,812,5769,141
5,813,636,10
6,112,64,1
6,114,238,1
6,115,17,0
6,212,42,2
6,221,6,3
6,236,106,43
6,237,37,19
6,238,68,15
6,311,1121,29
6,312,149,2
6,313,8,0
6,314,77,3
6,315,207,9
6,316,31,1
6,321,195,5
6,322,55,4
6,323,78,17
6,325,19,4
6,326,8,2
6,327,79,5
6,331,1,1
6,332,502,24
6,333,5,1
6,335,3,0
6,336,12,2
6,337,173,8
6,339,118,11
6,431,180,32
6,432,18,4
6,433,39,3
6,434,489,66
6,435,145,41
6,436,42,12
6,461,5160,34
6,462,620,9
6,463,1502,91
6,464,549,25
6,465,1646,58
6,466,1015,87
6,467,605,68
6,468,594,98
6,469,4,0
6,483,2,1
6,484,98,70
6,485,27,9
6,486,1,0
6,487,8,3
6,488,222,98
6,491,1,0
6,492,3,2
6,493,7,5
6,511,12,2
6,512,6,5
6,515,18,2
6,517,27,3
6,518,1,1
6,519,13,1
6,522,133,19
6,523,10,1
6,524,35,12
6,531,406,24
6,532,222,20
6,533,1,1
6,541,676,102
6,551,1,0
6,561,468,45
6,562,5,5
6,611,322,37
6,621,1157,84
6,622,17,2
6,623,66,0
6,624,258,14
6,711,39,3
6,712,4,1
6,713,281,9
6,721,244,48
6,722,5718,89
6,811,2777,94
6,812,2207,58
6,813,325,11
7,112,115,4
7,114,624,0
7,115,21,2
7,211,2,0
7,212,33,0
7,221,133,3
7,236,194,69
7,237,149,50
7,238,104,20
7,311,7993,35
7,312,1222,7
7,313,125,0
7,314,1639,5
7,315,2085,10
7,316,164,4
7,321,1038,6
7,322,313,4
7,323,533,33
7,324,3,1
7,325,37,3
7,326,20,4
7,327,1663,5
7,331,2,0
7,332,2875,10
7,333,25,2
7,334,2,1
7,335,9,0
7,336,30,7
7,337,1442,10
7,339,727,13
7,431,822,62
7,432,137,6
7,433,204,15
7,434,2814,117
7,435,529,49
7,436,56,9
7,461,52191,65
7,462,1120,56
7,463,12002,130
7,464,3366,112
7,465,9118,143
7,466,5710,108
7,467,2844,138
7,468,3052,163
7,469,9,0
7,481,2,0
7,483,19,1
7,484,257,8
7,485,511,9
7,487,28,11
7,488,125,7
7,491,1,0
7,492,16,1
7,493,32,1
7,511,28,3
7,512,25,11
7,515,95,3
7,517,205,4
7,518,3,0
7,519,8,0
7,522,713,51
7,523,8,6
7,524,103,9
7,531,1110,22
7,532,697,22
7,541,2638,112
7,551,4,0
7,561,3032,166
7,562,14,1
7,611,1244,70
7,621,4429,76
7,622,69,5
7,623,84,0
7,624,1045,4
7,711,467,3
7,712,18,1
7,713,1333,12
7,721,1440,156
7,722,25120,118
7,811,13160,72
7,812,7783,46
7,813,1326,15
8,112,9,0
8,114,23,0
8,115,33,3
8,212,74,3
8,213,10,1
8,221,80,8
8,236,218,53
8,237,91,25
8,238,251,37
8,311,2619,73
8,312,133,10
8,313,5,0
8,314,74,12
8,315,414,17
8,316,72,3
8,321,609,21
8,322,120,15
8,323,367,77
8,324,10,0
8,325,75,14
8,326,110,27
8,327,690,18
8,331,38,7
8,332,1476,74
8,333,121,36
8,334,71,16
8,335,44,10
8,336,167,41
8,337,685,44
8,339,226,30
8,431,632,93
8,432,79,17
8,433,133,22
8,434,1994,197
8,435,626,203
8,436,76,23
8,437,5,1
8,461,18647,152
8,462,1991,148
8,463,5780,203
8,464,2054,135
8,465,4755,172
8,466,4800,185
8,467,2405,157
8,468,3108,255
8,469,3,1
8,481,6,0
8,484,205,77
8,485,101,20
8,486,1,0
8,487,3,3
8,488,217,29
8,491,1,0
8,492,17,6
8,493,56,10
8,511,30,9
8,512,14,25
8,515,54,9
8,517,64,10
8,518,8,3
8,519,15,1
8,522,391,84
8,523,312,3
8,524,185,31
8,531,1094,74
8,532,488,34
8,533,1,1
8,541,2394,309
8,551,10,1
8,561,1131,174
8,562,34,8
8,611,1128,126
8,621,4183,224
8,622,69,7
8,623,151,0
8,624,773,23
8,711,60,3
8,712,15,0
8,713,1263,44
8,721,480,82
8,722,11973,256
8,811,11041,224
8,812,7047,153
8,813,685,25
9,112,9,0
9,114,2,0
9,115,12,1
9,211,4,0
9,212,11,0
9,213,11,3
9,221,59,1
9,236,502,133
9,237,201,32
9,238,927,69
9,311,11950,114
9,312,2480,15
9,313,135,12
9,314,457,31
9,315,1601,78
9,316,334,18
9,321,1465,34
9,322,327,46
9,323,3061,297
9,324,19,1
9,325,607,107
9,326,658,102
9,327,467,26
9,331,88,12
9,332,3603,151
9,333,272,55
9,334,70,16
9,335,134,34
9,336,168,19
9,337,1710,115
9,339,1398,97
9,431,2626,291
9,432,934,97
9,433,1403,194
9,434,6424,486
9,435,2854,636
9,436,208,29
9,437,40,13
9,461,83757,262
9,462,3031,753
9,463,23260,680
9,464,10585,522
9,465,35898,819
9,466,15450,558
9,467,12928,347
9,468,6803,490
9,469,25,17
9,481,21,16
9,482,4,1
9,483,7,4
9,484,547,99
9,485,133,45
9,486,10,0
9,487,23,6
9,488,701,161
9,491,1,0
9,492,65,15
9,493,65,10
9,511,229,81
9,512,202,144
9,515,90,11
9,517,244,42
9,518,49,20
9,519,47,9
9,522,834,177
9,523,164,68
9,524,538,90
9,531,3623,350
9,532,1565,124
9,533,15,2
9,541,11793,1704
9,551,150,10
9,561,7199,802
9,562,61,9
9,611,5758,628
9,621,16923,713
9,622,205,22
9,623,247,9
9,624,1995,28
9,711,427,29
9,712,73,7
9,713,3680,150
9,721,765,180
9,722,53613,1492
9,811,29255,440
9,812,29828,453
9,813,1746,131
10,112,17,0
10,114,10,0
10,115,12,1
10,212,123,6
10,213,11,2
10,221,43,5
10,236,121,25
10,237,86,12
10,238,86,6
10,311,1641,25
10,312,223,6
10,313,11,0
10,314,51,8
10,315,288,8
10,316,25,2
10,321,533,18
10,322,75,7
10,323,176,25
10,324,3,1
10,325,23,6
10,326,33,5
10,327,646,11
10,331,18,1
10,332,939,25
10,333,36,9
10,334,3,0
10,335,7,6
10,336,25,10
10,337,407,12
10,339,111,5
10,431,311,38
10,432,37,4
10,433,52,3
10,434,1097,46
10,435,202,44
10,436,23,10
10,437,3,2
10,461,11287,28
10,462,1115,76
10,463,2785,82
10,464,953,39
10,465,2998,51
10,466,1576,67
10,467,1312,53
10,468,1356,67
10,481,2,1
10,483,2,0
10,484,124,7
10,485,72,0
10,487,7,2
10,488,37,4
10,491,1,0
10,492,9,0
10,493,32,0
10,511,22,1
10,512,6,9
10,515,21,0
10,517,40,5
10,518,2,0
10,519,1,0
10,522,262,21
10,523,34,2
10,524,30,6
10,531,616,14
10,532,200,16
10,541,1138,90
10,551,5,0
10,561,722,50
10,562,10,2
10,611,431,27
10,621,1885,65
10,622,33,0
10,623,37,1
10,624,403,1
10,711,39,1
10,712,6,0
10,713,550,6
10,721,262,22
10,722,8163,59
10,811,5189,62
10,812,3071,41
10,813,497,13
11,112,7,0
11,114,56,0
11,115,38,1
11,212,59,3
11,213,2,0
11,221,40,12
11,236,301,54
11,237,171,38
11,238,295,38
11,311,8296,79
11,312,550,18
11,313,176,15
11,314,437,26
11,315,2844,66
11,316,5611,302
11,321,1490,19
11,322,287,31
11,323,988,98
11,324,12,1
11,325,359,56
11,326,920,112
11,327,1777,28
11,331,61,12
11,332,4238,147
11,333,329,41
11,334,15,2
11,335,50,9
11,336,195,40
11,337,1101,35
11,339,587,48
11,431,978,125
11,432,1578,201
11,433,276,27
11,434,4893,291
11,435,1080,212
11,436,130,28
11,437,7,0
11,461,47588,139
11,462,2007,128
11,463,18726,531
11,464,4166,153
11,465,14800,194
11,466,7700,203
11,467,6496,209
11,468,4065,396
11,469,15,0
11,483,1,0
11,484,180,43
11,485,174,41
11,486,1,0
11,487,16,4
11,488,214,25
11,491,1,0
11,492,28,1
11,493,57,14
11,511,44,16
11,512,16,26
11,515,37,6
11,517,173,14
11,518,5,2
11,519,16,3
11,522,860,183
11,523,130,0
11,524,152,26
11,531,2521,112
11,532,1427,69
11,533,1,0
11,541,4758,421
11,551,5,0
11,561,3332,279
11,562,60,3
11,611,2129,216
11,621,8849,307
11,622,123,13
11,623,164,2
11,624,1149,13
11,711,207,8
11,712,30,1
11,713,2160,39
11,721,777,236
11,722,28214,295
11,811,17183,261
11,812,13610,122
11,813,923,41
12,112,171,1
12,114,1467,0
12,115,6,0
12,212,301,5
12,213,1,0
12,221,89,0
12,236,88,15
12,237,48,23
12,238,55,3
12,311,8684,24
12,312,869,7
12,313,6897,2
12,314,5265,4
12,315,1458,7
12,316,279,2
12,321,986,10
12,322,287,5
12,323,269,23
12,325,107,4
12,326,31,2
12,327,1062,5
12,331,28,1
12,332,2060,9
12,333,10,0
12,334,3,0
12,335,4,0
12,336,14,0
12,337,876,4
12,339,3157,14
12,431,364,85
12,432,58,2
12,433,176,13
12,434,2005,73
12,435,241,33
12,436,20,1
12,461,33229,46
12,462,893,53
12,463,8859,80
12,464,1939,80
12,465,10222,91
12,466,3640,92
12,467,2544,56
12,468,1789,135
12,469,7,1
12,483,57,0
12,484,101,6
12,485,161,3
12,487,57,4
12,488,62,8
12,491,1,0
12,492,31,0
12,493,3,0
12,511,18,7
12,512,20,15
12,515,31,2
12,517,100,1
12,518,1,0
12,519,5,1
12,522,347,60
12,523,24,0
12,524,35,6
12,531,666,26
12,532,379,13
12,533,1,0
12,541,1464,81
12,561,1803,94
12,562,10,0
12,611,709,54
12,621,2950,73
12,622,52,3
12,623,39,2
12,624,736,8
12,711,145,5
12,712,8,0
12,713,1108,12
12,721,977,122
12,722,19571,147
12,811,8531,78
12,812,5682,50
12,813,768,11
13,112,142,3
13,114,28,0
13,115,6,0
13,212,118,13
13,221,73,11
13,236,74,68
13,237,52,47
13,238,95,14
13,311,6656,30
13,312,511,8
13,313,64,2
13,314,301,15
13,315,1355,29
13,316,297,3
13,321,864,16
