Code_INEGI,Municipality,Industry Group ID,Industry Group,Workforce
1001,Aguascalientes,1121,Explotación de Bovinos,2043
1001,Aguascalientes,1141,Pesca,84
1001,Aguascalientes,2122,Minería de Minerales Metálicos,106
1001,Aguascalientes,2123,Minería de Minerales no Metálicos,119
1001,Aguascalientes,2131,Servicios Relacionados con la Minería,142
1001,Aguascalientes,2221,"Captación, Tratamiento y Suministro de Agua",1142
1001,Aguascalientes,2361,Edificación Residencial,17581
1001,Aguascalientes,2381,"Cimentaciones, Montaje de Estructuras Prefabricadas y Trabajos en Exteriores",1797
1001,Aguascalientes,2382,Instalaciones y Equipamiento en Construcciones,6112
1001,Aguascalientes,3110,Industria Alimentaria,14218
1001,Aguascalientes,3120,Industria de las Bebidas y del Tabaco,2231
1001,Aguascalientes,3130,Fabricación de Insumos Textiles y Acabado de Textiles,908
1001,Aguascalientes,3140,"Fabricación de Productos Textiles, Excepto Prendas de Vestir",4805
1001,Aguascalientes,3150,Fabricación de Prendas de Vestir,6331
1001,Aguascalientes,3160,"Curtido y Acabado de Cuero y Piel, y Fabricación de Productos de Cuero, Piel y Materiales Sucedáneos",598
1001,Aguascalientes,3210,Industria de la Madera,535
1001,Aguascalientes,3220,Industria del Papel,990
1001,Aguascalientes,3230,Impresión e Industrias Conexas,1912
1001,Aguascalientes,3240,Fabricación de Productos Derivados del Petróleo y del Carbón,112
1001,Aguascalientes,3250,Industria Química,467
1001,Aguascalientes,3260,Industria del Plástico y del Hule,2261
1001,Aguascalientes,3270,Fabricación de Productos a Base de Minerales no Metálicos,2792
1001,Aguascalientes,3310,Industrias Metálicas Básicas,870
1001,Aguascalientes,3320,Fabricación de Productos Metálicos,7805
1001,Aguascalientes,3330,Fabricación de Maquinaria y Equipo,1385
1001,Aguascalientes,3340,"Fabricación de Equipo de Computación, Comunicación, Medición y de otros Equipos, Componentes y Accesorios Electrónicos",5010
1001,Aguascalientes,3350,"Fabricación de Accesorios, Aparatos Eléctricos y Equipo de Generación de Energía Eléctrica",370
1001,Aguascalientes,3360,Fabricación de Equipo de Transporte y Partes para Vehículos Automotores,31259
1001,Aguascalientes,3370,"Fabricación de Muebles, Colchones y Persianas",5861
1001,Aguascalientes,3380,3380,1937
1001,Aguascalientes,3399,Otras Industrias Manufactureras,126
1001,Aguascalientes,4611,Comercio al por Menor de Abarrotes y Alimentos,19705
1001,Aguascalientes,4612,"Comercio al por Menor de Bebidas, Hielo y Tabaco",1319
1001,Aguascalientes,4631,"Comercio al por Menor de Productos Textiles, Excepto Ropa",6118
1001,Aguascalientes,4632,"Comercio al por Menor de Ropa, Bisutería y Accesorios de Vestir",1280
