Municipality ID,Municipality,Economic Sector 1 digit ID,Economic Sector 1 digit,Insured People
1001,Aguascalientes,0,"Agricultura, ganadería, silvicultura, pesca y caza",45938
1001,Aguascalientes,1,Industrias extractivas,7907
1001,Aguascalientes,3,Industrias de transformación,690180
1001,Aguascalientes,4,Industria de la construcción,234882
1001,Aguascalientes,5,"Industria eléctrica, y captación y suministro de agua potable",8065
1001,Aguascalientes,6,Comercio,536724
1001,Aguascalientes,7,Transportes y comunicaciones,282390
1001,Aguascalientes,8,"Servicios para empresas, personas y el hogar",560519
1001,Aguascalientes,9,Servicios sociales y comunales,532635
1002,Asientos,0,"Agricultura, ganadería, silvicultura, pesca y caza",3781
1002,Asientos,1,Industrias extractivas,1329
1002,Asientos,3,Industrias de transformación,34
1002,Asientos,4,Industria de la construcción,2383
1002,Asientos,6,Comercio,1057
1002,Asientos,7,Transportes y comunicaciones,93
1002,Asientos,8,"Servicios para empresas, personas y el hogar",19
1002,Asientos,9,Servicios sociales y comunales,5147
1003,Calvillo,0,"Agricultura, ganadería, silvicultura, pesca y caza",5648
1003,Calvillo,1,Industrias extractivas,192
1003,Calvillo,3,Industrias de transformación,16889
1003,Calvillo,4,Industria de la construcción,1728
1003,Calvillo,6,Comercio,5240
1003,Calvillo,7,Transportes y comunicaciones,1177
1003,Calvillo,8,"Servicios para empresas, personas y el hogar",1383
1003,Calvillo,9,Servicios sociales y comunales,11833
1004,Cosío,0,"Agricultura, ganadería, silvicultura, pesca y caza",614
1004,Cosío,1,Industrias extractivas,748
1004,Cosío,3,Industrias de transformación,37
1004,Cosío,4,Industria de la construcción,20
1004,Cosío,6,Comercio,204
1004,Cosío,7,Transportes y comunicaciones,143
1004,Cosío,8,"Servicios para empresas, personas y el hogar",81
1004,Cosío,9,Servicios sociales y comunales,3571
1006,Pabellón de Arteaga,0,"Agricultura, ganadería, silvicultura, pesca y caza",9153
1006,Pabellón de Arteaga,1,Industrias extractivas,218
1006,Pabellón de Arteaga,3,Industrias de transformación,2229
1006,Pabellón de Arteaga,4,Industria de la construcción,2089
1006,Pabellón de Arteaga,5,"Industria eléctrica, y captación y suministro de agua potable",36
1006,Pabellón de Arteaga,6,Comercio,5369
1006,Pabellón de Arteaga,7,Transportes y comunicaciones,3831
1006,Pabellón de Arteaga,8,"Servicios para empresas, personas y el hogar",2154
1006,Pabellón de Arteaga,9,Servicios sociales y comunales,6790
1007,Rincón de Romos,0,"Agricultura, ganadería, silvicultura, pesca y caza",4979
1007,Rincón de Romos,1,Industrias extractivas,1211
1007,Rincón de Romos,3,Industrias de transformación,8829
1007,Rincón de Romos,4,Industria de la construcción,1594
1007,Rincón de Romos,5,"Industria eléctrica, y captación y suministro de agua potable",67
1007,Rincón de Romos,6,Comercio,5599
1007,Rincón de Romos,7,Transportes y comunicaciones,211
1007,Rincón de Romos,8,"Servicios para empresas, personas y el hogar",1142
1007,Rincón de Romos,9,Servicios sociales y comunales,12348
1008,San José de Gracia,3,Industrias de transformación,19
1008,San José de Gracia,4,Industria de la construcción,508
1008,San José de Gracia,6,Comercio,113
1008,San José de Gracia,7,Transportes y comunicaciones,6
1008,San José de Gracia,8,"Servicios para empresas, personas y el hogar",60
1008,San José de Gracia,9,Servicios sociales y comunales,3214
1009,Tepezalá,0,"Agricultura, ganadería, silvicultura, pesca y caza",2687
1009,Tepezalá,1,Industrias extractivas,385
1009,Tepezalá,3,Industrias de transformación,7456
1009,Tepezalá,4,Industria de la construcción,1735
1009,Tepezalá,6,Comercio,582
1009,Tepezalá,7,Transportes y comunicaciones,3424
1009,Tepezalá,8,"Servicios para empresas, personas y el hogar",760
1009,Tepezalá,9,Servicios sociales y comunales,4694
1010,El Llano,0,"Agricultura, ganadería, silvicultura, pesca y caza",5447
1010,El Llano,3,Industrias de transformación,2071
1010,El Llano,4,Industria de la construcción,10682
1010,El Llano,6,Comercio,1001
1010,El Llano,7,Transportes y comunicaciones,785
1010,El Llano,8,"Servicios para empresas, personas y el hogar",102
1010,El Llano,9,Servicios sociales y comunales,5008
1011,San Francisco de los Romo,0,"Agricultura, ganadería, silvicultura, pesca y caza",5381
1011,San Francisco de los Romo,3,Industrias de transformación,183231
1011,San Francisco de los Romo,4,Industria de la construcción,5480
1011,San Francisco de los Romo,6,Comercio,14511
1011,San Francisco de los Romo,7,Transportes y comunicaciones,7553
1011,San Francisco de los Romo,8,"Servicios para empresas, personas y el hogar",7219
1011,San Francisco de los Romo,9,Servicios sociales y comunales,9622
2001,Ensenada,0,"Agricultura, ganadería, silvicultura, pesca y caza",308803
2001,Ensenada,1,Industrias extractivas,1081
2001,Ensenada,3,Industrias de transformación,172765
2001,Ensenada,4,Industria de la construcción,47012
2001,Ensenada,5,"Industria eléctrica, y captación y suministro de agua potable",6348
2001,Ensenada,6,Comercio,202022
2001,Ensenada,7,Transportes y comunicaciones,44542
2001,Ensenada,8,"Servicios para empresas, personas y el hogar",175534
2001,Ensenada,9,Servicios sociales y comunales,105050
