Code_INEGI,Municipio
01001,Aguascalientes
01002,Asientos
01003,Calvillo
01004,Cosío
01010,El Llano
01005,Jesús María
01006,Pabellón de Arteaga
01007,Rincón de Romos
01011,San Francisco de los Romo
01008,San José de Gracia
01009,Tepezalá
02001,Ensenada
02002,Mexicali
02005,Playas de Rosarito
02006,San Quintín
02003,Tecate
02004,Tijuana
03001,Comondú
03003,La Paz
03009,Loreto
03008,Los Cabos
03002,Mulegé
04010,Calakmul
04001,Calkiní
04002,Campeche
04011,Candelaria
04003,Carmen
04004,Champotón
04009,Escárcega
04005,Hecelchakán
04006,Hopelchén
04007,Palizada
04012,Seybaplaya
04008,Tenabo
05001,Abasolo
05002,Acuña
05003,Allende
05004,Arteaga
05005,Candela
05006,Castaños
05007,Cuatro Ciénegas
05008,Escobedo
05009,Francisco I. Madero
05010,Frontera
05011,General Cepeda
05012,Guerrero
05013,Hidalgo
05014,Jiménez
05015,Juárez
05016,Lamadrid
05017,Matamoros
05018,Monclova
05019,Morelos
05020,Múzquiz
05021,Nadadores
05022,Nava
05023,Ocampo
05024,Parras
05025,Piedras Negras
05026,Progreso
05027,Ramos Arizpe
05028,Sabinas
05029,Sacramento
05030,Saltillo
05031,San Buenaventura
05032,San Juan de Sabinas
05033,San Pedro
05034,Sierra Mojada
05035,Torreón
05036,Viesca
05037,Villa Unión
05038,Zaragoza
06001,Armería
06002,Colima
06003,Comala
06004,Coquimatlán
06005,Cuauhtémoc
06006,Ixtlahuacán
06007,Manzanillo
06008,Minatitlán
06009,Tecomán
06010,Villa de Álvarez
07001,Acacoyagua
07002,Acala
07003,Acapetahua
07113,Aldama
07004,Altamirano
07005,Amatán
07006,Amatenango de la Frontera
07007,Amatenango del Valle
07008,Ángel Albino Corzo
07009,Arriaga
07010,Bejucal de Ocampo
07011,Bella Vista
07114,Benemérito de las Américas
07012,Berriozábal
07013,Bochil
07015,Cacahoatán
07120,Capitán Luis Ángel Vidal
07016,Catazajá
07022,Chalchihuitán
07023,Chamula
07024,Chanal
07025,Chapultenango
07026,Chenalhó
07027,Chiapa de Corzo
07028,Chiapilla
07029,Chicoasén
07030,Chicomuselo
07031,Chilón
07017,Cintalapa
07018,Coapilla
07019,Comitán de Domínguez
07021,Copainalá
07014,El Bosque
07122,El Parral
07070,El Porvenir
07123,Emiliano Zapata
07032,Escuintla
07033,Francisco León
07034,Frontera Comalapa
07035,Frontera Hidalgo
07125,Honduras de la Sierra
07037,Huehuetán
07039,Huitiupán
07038,Huixtán
07040,Huixtla
07042,Ixhuatán
07043,Ixtacomitán
07044,Ixtapa
07045,Ixtapangajoya
07046,Jiquipilas
07047,Jitotol
07048,Juárez
07020,La Concordia
07036,La Grandeza
07041,La Independencia
07050,La Libertad
07099,La Trinitaria
07049,Larráinzar
07052,Las Margaritas
07075,Las Rosas
07051,Mapastepec
07115,Maravilla Tenejapa
07116,Marqués de Comillas
07053,Mazapa de Madero
07054,Mazatán
07055,Metapa
07124,Mezcalapa
07056,Mitontic
07117,Montecristo de Guerrero
07057,Motozintla
07058,Nicolás Ruíz
07059,Ocosingo
07060,Ocotepec
07061,Ocozocoautla de Espinosa
07062,Ostuacán
07063,Osumacinta
07064,Oxchuc
07065,Palenque
07066,Pantelhó
07067,Pantepec
07068,Pichucalco
07069,Pijijiapan
07072,Pueblo Nuevo Solistahuacán
07073,Rayón
07074,Reforma
07121,Rincón Chamula San Pedro
07076,Sabanilla
07077,Salto de Agua
07118,San Andrés Duraznal
07078,San Cristóbal de las Casas
07079,San Fernando
07112,San Juan Cancuc
07110,San Lucas
07119,Santiago el Pinar
07080,Siltepec
07081,Simojovel
07082,Sitalá
07083,Socoltenango
07084,Solosuchiapa
07085,Soyaló
07086,Suchiapa
07087,Suchiate
07088,Sunuapa
07089,Tapachula
07090,Tapalapa
07091,Tapilula
07092,Tecpatán
07093,Tenejapa
07094,Teopisca
07096,Tila
07097,Tonalá
07098,Totolapa
07100,Tumbalá
07102,Tuxtla Chico
07101,Tuxtla Gutiérrez
07103,Tuzantán
07104,Tzimol
07105,Unión Juárez
07106,Venustiano Carranza
07071,Villa Comaltitlán
07107,Villa Corzo
07108,Villaflores
07109,Yajalón
07111,Zinacantán
08001,Ahumada
08002,Aldama
08003,Allende
08004,Aquiles Serdán
08005,Ascensión
08006,Bachíniva
08007,Balleza
08008,Batopilas de Manuel Gómez Morín
08009,Bocoyna
08010,Buenaventura
08011,Camargo
08012,Carichí
08013,Casas Grandes
08019,Chihuahua
08020,Chínipas
08014,Coronado
08015,Coyame del Sotol
08017,Cuauhtémoc
08018,Cusihuiriachi
08021,Delicias
08022,Dr. Belisario Domínguez
08064,El Tule
08023,Galeana
08025,Gómez Farías
08026,Gran Morelos
08027,Guachochi
08028,Guadalupe
08029,Guadalupe y Calvo
08030,Guazapares
08031,Guerrero
08032,Hidalgo del Parral
08033,Huejotitán
08034,Ignacio Zaragoza
08035,Janos
08036,Jiménez
08037,Juárez
08038,Julimes
08016,La Cruz
08039,López
08040,Madera
08041,Maguarichi
08042,Manuel Benavides
08043,Matachí
08044,Matamoros
08045,Meoqui
08046,Morelos
08047,Moris
08048,Namiquipa
08049,Nonoava
08050,Nuevo Casas Grandes
08051,Ocampo
08052,Ojinaga
08053,Praxedis G. Guerrero
08054,Riva Palacio
08055,Rosales
08056,Rosario
08057,San Francisco de Borja
08058,San Francisco de Conchos
08059,San Francisco del Oro
08060,Santa Bárbara
08024,Santa Isabel
08061,Satevó
08062,Saucillo
08063,Temósachic
08065,Urique
08066,Uruachi
08067,Valle de Zaragoza
09010,Álvaro Obregón
09002,Azcapotzalco
09014,Benito Juárez
09003,Coyoacán
09004,Cuajimalpa de Morelos
09015,Cuauhtémoc
09005,Gustavo A. Madero
09006,Iztacalco
09007,Iztapalapa
09008,La Magdalena Contreras
09016,Miguel Hidalgo
09009,Milpa Alta
09011,Tláhuac
09012,Tlalpan
09017,Venustiano Carranza
09013,Xochimilco
10001,Canatlán
10002,Canelas
10003,Coneto de Comonfort
10004,Cuencamé
10005,Durango
10018,El Oro
10006,General Simón Bolívar
10007,Gómez Palacio
10008,Guadalupe Victoria
10009,Guanaceví
10010,Hidalgo
10011,Indé
10012,Lerdo
10013,Mapimí
10014,Mezquital
10015,Nazas
10016,Nombre de Dios
10039,Nuevo Ideal
10017,Ocampo
10019,Otáez
10020,Pánuco de Coronado
10021,Peñón Blanco
10022,Poanas
10023,Pueblo Nuevo
10024,Rodeo
10025,San Bernardo
10026,San Dimas
10027,San Juan de Guadalupe
10028,San Juan del Río
10029,San Luis del Cordero
10030,San Pedro del Gallo
10031,Santa Clara
10032,Santiago Papasquiaro
10033,Súchil
10034,Tamazula
10035,Tepehuanes
10036,Tlahualilo
10037,Topia
10038,Vicente Guerrero
11001,Abasolo
11002,Acámbaro
11004,Apaseo el Alto
11005,Apaseo el Grande
11006,Atarjea
11007,Celaya
11009,Comonfort
11010,Coroneo
11011,Cortazar
11012,Cuerámaro
11013,Doctor Mora
11014,Dolores Hidalgo Cuna de la Independencia Nacional
11015,Guanajuato
11016,Huanímaro
11017,Irapuato
11018,Jaral del Progreso
11019,Jerécuaro
11020,León
11008,Manuel Doblado
11021,Moroleón
11022,Ocampo
11023,Pénjamo
11024,Pueblo Nuevo
11025,Purísima del Rincón
11026,Romita
11027,Salamanca
11028,Salvatierra
11029,San Diego de la Unión
11030,San Felipe
11031,San Francisco del Rincón
11032,San José Iturbide
11033,San Luis de la Paz
11003,San Miguel de Allende
11034,Santa Catarina
11035,Santa Cruz de Juventino Rosas
11036,Santiago Maravatío
11037,Silao de la Victoria
11038,Tarandacuao
11039,Tarimoro
11040,Tierra Blanca
11041,Uriangato
11042,Valle de Santiago
11043,Victoria
11044,Villagrán
11045,Xichú
11046,Yuriria
12001,Acapulco de Juárez
12076,Acatepec
12002,Ahuacuotzingo
12003,Ajuchitlán del Progreso
12004,Alcozauca de Guerrero
12005,Alpoyeca
12006,Apaxtla
12007,Arcelia
12008,Atenango del Río
12009,Atlamajalcingo del Monte
12010,Atlixtac
12011,Atoyac de Álvarez
12012,Ayutla de los Libres
12013,Azoyú
12014,Benito Juárez
12015,Buenavista de Cuéllar
12028,Chilapa de Álvarez
12029,Chilpancingo de los Bravo
12016,Coahuayutla de José María Izazaga
12078,Cochoapa el Grande
12017,Cocula
12018,Copala
12019,Copalillo
12020,Copanatoyac
12021,Coyuca de Benítez
12022,Coyuca de Catalán
12023,Cuajinicuilapa
12024,Cualác
12025,Cuautepec
12026,Cuetzala del Progreso
12027,Cutzamala de Pinzón
12075,Eduardo Neri
12030,Florencio Villarreal
12031,General Canuto A. Neri
