,0
Code_INEGI,0
Municipio,0
Code_ent,0
ANUIES_Education,4
ANUIES_Arts and Humanities,4
ANUIES_social sciences and law,4
ANUIES_Business Administration,4
"ANUIES_natural sciences, mathematics and statistics",4
ANUIES_Technology of the information and communication,4
"ANUIES_Engineering, manufacturing and construction",4
ANUIES_Health Sciences,4
ANUIES_Services,4
ANUIES_Agriculture and Veterinary,4
ENOE_Explotación de Bovinos,1932
ENOE_Pesca,2388
ENOE_Minería de Minerales Metálicos,2402
ENOE_Minería de Minerales no Metálicos,2399
ENOE_Servicios Relacionados con la Minería,2454
"ENOE_Captación, Tratamiento y Suministro de Agua",2324
ENOE_Edificación Residencial,1873
"ENOE_Cimentaciones, Montaje de Estructuras Prefabricadas y Trabajos en Exteriores",2250
ENOE_Instalaciones y Equipamiento en Construcciones,1768
ENOE_Industria Alimentaria,1715
ENOE_Industria de las Bebidas y del Tabaco,2221
ENOE_Fabricación de Insumos Textiles y Acabado de Textiles,2349
"ENOE_Fabricación de Productos Textiles, Excepto Prendas de Vestir",2233
ENOE_Fabricación de Prendas de Vestir,2055
"ENOE_Curtido y Acabado de Cuero y Piel, y Fabricación de Productos de Cuero, Piel y Materiales Sucedáneos",2381
ENOE_Industria de la Madera,2310
ENOE_Industria del Papel,2323
ENOE_Impresión e Industrias Conexas,2333
ENOE_Fabricación de Productos Derivados del Petróleo y del Carbón,2412
ENOE_Industria Química,2291
ENOE_Industria del Plástico y del Hule,2264
ENOE_Fabricación de Productos a Base de Minerales no Metálicos,2218
ENOE_Industrias Metálicas Básicas,2361
ENOE_Fabricación de Productos Metálicos,2084
ENOE_Fabricación de Maquinaria y Equipo,2364
"ENOE_Fabricación de Equipo de Computación, Comunicación, Medición y de otros Equipos, Componentes y Accesorios Electrónicos",2375
"ENOE_Fabricación de Accesorios, Aparatos Eléctricos y Equipo de Generación de Energía Eléctrica",2342
ENOE_Fabricación de Equipo de Transporte y Partes para Vehículos Automotores,2134
"ENOE_Fabricación de Muebles, Colchones y Persianas",2145
ENOE_3380,2278
ENOE_Otras Industrias Manufactureras,2457
ENOE_Comercio al por Menor de Abarrotes y Alimentos,1618
"ENOE_Comercio al por Menor de Bebidas, Hielo y Tabaco",2085
"ENOE_Comercio al por Menor de Productos Textiles, Excepto Ropa",2009
"ENOE_Comercio al por Menor de Ropa, Bisutería y Accesorios de Vestir",2243
ENOE_Comercio al por Menor de Artículos para el Cuidado de la Salud,2173
ENOE_Comercio al por Menor de Artículos de Perfumería y Joyería,2068
ENOE_Comercio al por Menor de Artículos para el Esparcimiento,2338
ENOE_Comercio al por Menor de Muebles para el Hogar y otros Enseres Domésticos,2134
"ENOE_Comercio al por Menor de Mobiliario, Equipo y Accesorios de Cómputo, Teléfonos y otros Aparatos de Comunicación",2269
"ENOE_Comercio al por Menor de Artículos de Ferretería, Tlapalería y Vidrios",2159
ENOE_Comercio al por Menor de Automóviles y Camionetas,2092
"ENOE_Comercio al por Menor de Partes y Refacciones para Automóviles, Camionetas y Camiones",2444
ENOE_Servicios Relacionados con el Transporte Aéreo,2334
ENOE_Banca Múltiple,2293
ENOE_Instituciones Financieras de Fomento Económico,2279
ENOE_Alquiler de Artículos para el Hogar y Personales,2323
ENOE_Servicios Legales,2110
"ENOE_Servicios de Contabilidad, Auditoría y Servicios Relacionados",2432
"ENOE_Servicios de Arquitectura, Ingeniería y Actividades Relacionadas",2367
ENOE_Diseño Especializado,2380
