,0,1,2,3,accu
16,AdaGrad,tanh,100,[0.22672064487750715],0.22672064487750715
10,RMSProp,tanh,100,[0.23886639470996163],0.23886639470996163
9,RMSProp,tanh,1000,[0.24291498156694266],0.24291498156694266
7,RMSProp,linear,100,[0.24696356178777903],0.24696356178777903
11,RMSProp,tanh,35,[0.25101214285321566],0.25101214285321566
19,ProximalAdaGrad,linear,100,[0.25910931131859055],0.25910931131859055
4,AdaDelta,tanh,100,[0.2591093127061481],0.2591093127061481
0,AdaDelta,linear,1000,[0.26923076911011207],0.26923076911011207
20,ProximalAdaGrad,linear,35,[0.27530364275943897],0.27530364275943897
2,AdaDelta,linear,35,[0.2793522285305054],0.2793522285305054
17,AdaGrad,tanh,35,[0.28947368384855476],0.28947368384855476
22,ProximalAdaGrad,tanh,100,[0.3218623458856513],0.3218623458856513
21,ProximalAdaGrad,tanh,1000,[0.3299595118775541],0.3299595118775541
3,AdaDelta,tanh,1000,[0.352226721130402],0.352226721130402
23,ProximalAdaGrad,tanh,35,[0.35425100985326263],0.35425100985326263
14,AdaGrad,linear,35,[0.3562753030404388],0.3562753030404388
8,RMSProp,linear,35,[0.3684210509423785],0.3684210509423785
15,AdaGrad,tanh,1000,[0.36842105118369284],0.36842105118369284
5,AdaDelta,tanh,35,[0.38056679932694687],0.38056679932694687
13,AdaGrad,linear,100,[0.38866396447424945],0.38866396447424945
1,AdaDelta,linear,100,[0.4008097140653896],0.4008097140653896
6,RMSProp,linear,1000,[0.40080971684050465],0.40080971684050465
18,ProximalAdaGrad,linear,1000,[0.4149797573263346],0.4149797573263346
12,AdaGrad,linear,1000,[0.4331983786362868],0.4331983786362868
