,0,1,2,3,accu
39,AdaGrad,linear,1000,[0.5091277906183781],0.5091277906183781
66,ProximalAdaGrad,tanh,1000,[0.5030425967720411],0.5030425967720411
41,AdaGrad,linear,35,[0.5010142003546864],0.5010142003546864
22,RMSProp,linear,100,[0.5010141992061181],0.5010141992061181
21,RMSProp,linear,1000,[0.49898580164019524],0.49898580164019524
57,ProximalAdaGrad,linear,1000,[0.494929004211213],0.494929004211213
59,ProximalAdaGrad,linear,35,[0.4929006089424265],0.4929006089424265
31,RMSProp,tanh,100,[0.4929006077938583],0.4929006077938583
50,AdaGrad,tanh,35,[0.488843810364876],0.488843810364876
13,AdaDelta,tanh,100,[0.4847870206736164],0.4847870206736164
5,AdaDelta,linear,35,[0.48275861881567544],0.48275861881567544
34,RMSProp,prelu,100,[0.45436105404132276],0.45436105404132276
35,RMSProp,prelu,35,[0.45436105404132276],0.45436105404132276
1,AdaDelta,relu,100,[0.45436105404132276],0.45436105404132276
37,AdaGrad,relu,100,[0.45436105404132276],0.45436105404132276
38,AdaGrad,relu,35,[0.45436105404132276],0.45436105404132276
0,AdaDelta,relu,1000,[0.45436105404132276],0.45436105404132276
51,AdaGrad,prelu,1000,[0.45436105404132276],0.45436105404132276
52,AdaGrad,prelu,100,[0.45436105404132276],0.45436105404132276
53,AdaGrad,prelu,35,[0.45436105404132276],0.45436105404132276
54,ProximalAdaGrad,relu,1000,[0.45436105404132276],0.45436105404132276
55,ProximalAdaGrad,relu,100,[0.45436105404132276],0.45436105404132276
56,ProximalAdaGrad,relu,35,[0.45436105404132276],0.45436105404132276
69,ProximalAdaGrad,prelu,1000,[0.45436105404132276],0.45436105404132276
70,ProximalAdaGrad,prelu,100,[0.45436105404132276],0.45436105404132276
33,RMSProp,prelu,1000,[0.45436105404132276],0.45436105404132276
36,AdaGrad,relu,1000,[0.45436105404132276],0.45436105404132276
71,ProximalAdaGrad,prelu,35,[0.45436105404132276],0.45436105404132276
20,RMSProp,relu,35,[0.45436105404132276],0.45436105404132276
16,AdaDelta,prelu,100,[0.45436105404132276],0.45436105404132276
17,AdaDelta,prelu,35,[0.45436105404132276],0.45436105404132276
15,AdaDelta,prelu,1000,[0.45436105404132276],0.45436105404132276
19,RMSProp,relu,100,[0.45436105404132276],0.45436105404132276
18,RMSProp,relu,1000,[0.45436105404132276],0.45436105404132276
2,AdaDelta,relu,35,[0.45436105404132276],0.45436105404132276
67,ProximalAdaGrad,tanh,100,[0.336713998603047],0.336713998603047
23,RMSProp,linear,35,[0.33265720032775137],0.33265720032775137
62,ProximalAdaGrad,softmax,35,[0.3002028369758482],0.3002028369758482
63,ProximalAdaGrad,sigmoid,1000,[0.3002028369758482],0.3002028369758482
64,ProximalAdaGrad,sigmoid,100,[0.3002028369758482],0.3002028369758482
65,ProximalAdaGrad,sigmoid,35,[0.3002028369758482],0.3002028369758482
61,ProximalAdaGrad,softmax,100,[0.3002028369758482],0.3002028369758482
60,ProximalAdaGrad,softmax,1000,[0.3002028369758482],0.3002028369758482
6,AdaDelta,softmax,1000,[0.3002028369758482],0.3002028369758482
7,AdaDelta,softmax,100,[0.3002028369758482],0.3002028369758482
8,AdaDelta,softmax,35,[0.3002028369758482],0.3002028369758482
9,AdaDelta,sigmoid,1000,[0.3002028369758482],0.3002028369758482
10,AdaDelta,sigmoid,100,[0.3002028369758482],0.3002028369758482
11,AdaDelta,sigmoid,35,[0.3002028369758482],0.3002028369758482
27,RMSProp,sigmoid,1000,[0.3002028369758482],0.3002028369758482
28,RMSProp,sigmoid,100,[0.3002028369758482],0.3002028369758482
24,RMSProp,softmax,1000,[0.3002028369758482],0.3002028369758482
26,RMSProp,softmax,35,[0.3002028369758482],0.3002028369758482
29,RMSProp,sigmoid,35,[0.3002028369758482],0.3002028369758482
47,AdaGrad,sigmoid,35,[0.3002028369758482],0.3002028369758482
46,AdaGrad,sigmoid,100,[0.3002028369758482],0.3002028369758482
45,AdaGrad,sigmoid,1000,[0.3002028369758482],0.3002028369758482
44,AdaGrad,softmax,35,[0.3002028369758482],0.3002028369758482
25,RMSProp,softmax,100,[0.3002028369758482],0.3002028369758482
43,AdaGrad,softmax,100,[0.3002028369758482],0.3002028369758482
42,AdaGrad,softmax,1000,[0.3002028369758482],0.3002028369758482
68,ProximalAdaGrad,tanh,35,[0.29208924900929295],0.29208924900929295
58,ProximalAdaGrad,linear,100,[0.27586206963047777],0.27586206963047777
32,RMSProp,tanh,35,[0.2758620684819096],0.2758620684819096
14,AdaDelta,tanh,35,[0.27180527449863195],0.27180527449863195
30,RMSProp,tanh,1000,[0.27180527449863195],0.27180527449863195
12,AdaDelta,tanh,1000,[0.2718052733500637],0.2718052733500637
49,AdaGrad,tanh,100,[0.26774847706964966],0.26774847706964966
40,AdaGrad,linear,100,[0.259634886805958],0.259634886805958
3,AdaDelta,linear,1000,[0.2555780959661302],0.2555780959661302
4,AdaDelta,linear,100,[0.2474645057024385],0.2474645057024385
48,AdaGrad,tanh,1000,[0.24137931070753332],0.24137931070753332
