,0,1,2,3,accu
30,RMSProp,tanh,1000,[0.5050709954865322],0.5050709954865322
13,AdaDelta,tanh,100,[0.5010142015032546],0.5010142015032546
66,ProximalAdaGrad,tanh,1000,[0.49087221022793537],0.49087221022793537
41,AdaGrad,linear,35,[0.49087221022793537],0.49087221022793537
12,AdaDelta,tanh,1000,[0.4807302255417706],0.4807302255417706
49,AdaGrad,tanh,100,[0.4807302201011843],0.4807302201011843
59,ProximalAdaGrad,linear,35,[0.4807302201011843],0.4807302201011843
57,ProximalAdaGrad,linear,1000,[0.4665314382882921],0.4665314382882921
0,AdaDelta,relu,1000,[0.45436105404132276],0.45436105404132276
34,RMSProp,prelu,100,[0.45436105404132276],0.45436105404132276
35,RMSProp,prelu,35,[0.45436105404132276],0.45436105404132276
1,AdaDelta,relu,100,[0.45436105404132276],0.45436105404132276
37,AdaGrad,relu,100,[0.45436105404132276],0.45436105404132276
38,AdaGrad,relu,35,[0.45436105404132276],0.45436105404132276
52,AdaGrad,prelu,100,[0.45436105404132276],0.45436105404132276
51,AdaGrad,prelu,1000,[0.45436105404132276],0.45436105404132276
53,AdaGrad,prelu,35,[0.45436105404132276],0.45436105404132276
54,ProximalAdaGrad,relu,1000,[0.45436105404132276],0.45436105404132276
55,ProximalAdaGrad,relu,100,[0.45436105404132276],0.45436105404132276
56,ProximalAdaGrad,relu,35,[0.45436105404132276],0.45436105404132276
69,ProximalAdaGrad,prelu,1000,[0.45436105404132276],0.45436105404132276
70,ProximalAdaGrad,prelu,100,[0.45436105404132276],0.45436105404132276
33,RMSProp,prelu,1000,[0.45436105404132276],0.45436105404132276
36,AdaGrad,relu,1000,[0.45436105404132276],0.45436105404132276
71,ProximalAdaGrad,prelu,35,[0.45436105404132276],0.45436105404132276
19,RMSProp,relu,100,[0.45436105404132276],0.45436105404132276
16,AdaDelta,prelu,100,[0.45436105404132276],0.45436105404132276
17,AdaDelta,prelu,35,[0.45436105404132276],0.45436105404132276
20,RMSProp,relu,35,[0.45436105404132276],0.45436105404132276
15,AdaDelta,prelu,1000,[0.45436105404132276],0.45436105404132276
2,AdaDelta,relu,35,[0.45436105404132276],0.45436105404132276
22,RMSProp,linear,100,[0.43002028524512936],0.43002028524512936
58,ProximalAdaGrad,linear,100,[0.3225152144930184],0.3225152144930184
23,RMSProp,linear,35,[0.3164300220975044],0.3164300220975044
7,AdaDelta,softmax,100,[0.3002028369758482],0.3002028369758482
11,AdaDelta,sigmoid,35,[0.3002028369758482],0.3002028369758482
10,AdaDelta,sigmoid,100,[0.3002028369758482],0.3002028369758482
9,AdaDelta,sigmoid,1000,[0.3002028369758482],0.3002028369758482
8,AdaDelta,softmax,35,[0.3002028369758482],0.3002028369758482
63,ProximalAdaGrad,sigmoid,1000,[0.3002028369758482],0.3002028369758482
6,AdaDelta,softmax,1000,[0.3002028369758482],0.3002028369758482
64,ProximalAdaGrad,sigmoid,100,[0.3002028369758482],0.3002028369758482
25,RMSProp,softmax,100,[0.3002028369758482],0.3002028369758482
60,ProximalAdaGrad,softmax,1000,[0.3002028369758482],0.3002028369758482
61,ProximalAdaGrad,softmax,100,[0.3002028369758482],0.3002028369758482
62,ProximalAdaGrad,softmax,35,[0.3002028369758482],0.3002028369758482
65,ProximalAdaGrad,sigmoid,35,[0.3002028369758482],0.3002028369758482
24,RMSProp,softmax,1000,[0.3002028369758482],0.3002028369758482
47,AdaGrad,sigmoid,35,[0.3002028369758482],0.3002028369758482
28,RMSProp,sigmoid,100,[0.3002028369758482],0.3002028369758482
45,AdaGrad,sigmoid,1000,[0.3002028369758482],0.3002028369758482
44,AdaGrad,softmax,35,[0.3002028369758482],0.3002028369758482
43,AdaGrad,softmax,100,[0.3002028369758482],0.3002028369758482
42,AdaGrad,softmax,1000,[0.3002028369758482],0.3002028369758482
26,RMSProp,softmax,35,[0.3002028369758482],0.3002028369758482
18,RMSProp,relu,1000,[0.3002028369758482],0.3002028369758482
46,AdaGrad,sigmoid,100,[0.3002028369758482],0.3002028369758482
27,RMSProp,sigmoid,1000,[0.3002028369758482],0.3002028369758482
29,RMSProp,sigmoid,35,[0.3002028369758482],0.3002028369758482
31,RMSProp,tanh,100,[0.275862070779046],0.275862070779046
50,AdaGrad,tanh,35,[0.2758620684819096],0.2758620684819096
3,AdaDelta,linear,1000,[0.27383367091598665],0.27383367091598665
14,AdaDelta,tanh,35,[0.27180527449863195],0.27180527449863195
39,AdaGrad,linear,1000,[0.2677484782182179],0.2677484782182179
21,RMSProp,linear,1000,[0.26369168308637203],0.26369168308637203
40,AdaGrad,linear,100,[0.26369168308637203],0.26369168308637203
67,ProximalAdaGrad,tanh,100,[0.255578090525544],0.255578090525544
48,AdaGrad,tanh,1000,[0.25152130083428437],0.25152130083428437
32,RMSProp,tanh,35,[0.24949290326836143],0.24949290326836143
5,AdaDelta,linear,35,[0.24543610698794738],0.24543610698794738
4,AdaDelta,linear,100,[0.24543610583937917],0.24543610583937917
68,ProximalAdaGrad,tanh,35,[0.24340770942202447],0.24340770942202447
