,0,1,2,3,accu
14,AdaDelta,tanh,35,[0.5070993930524551],0.5070993930524551
5,AdaDelta,linear,35,[0.48681541823953933],0.48681541823953933
3,AdaDelta,linear,10,[0.4827586231076935],0.4827586231076935
32,RMSProp,tanh,35,[0.47870182368382963],0.47870182368382963
12,AdaDelta,tanh,10,[0.4624746454535827],0.4624746454535827
49,AdaGrad,tanh,5,[0.45841784917316863],0.45841784917316863
51,AdaGrad,prelu,10,[0.45436105404132276],0.45436105404132276
33,RMSProp,prelu,10,[0.45436105404132276],0.45436105404132276
34,RMSProp,prelu,5,[0.45436105404132276],0.45436105404132276
35,RMSProp,prelu,35,[0.45436105404132276],0.45436105404132276
1,AdaDelta,relu,5,[0.45436105404132276],0.45436105404132276
37,AdaGrad,relu,5,[0.45436105404132276],0.45436105404132276
38,AdaGrad,relu,35,[0.45436105404132276],0.45436105404132276
0,AdaDelta,relu,10,[0.45436105404132276],0.45436105404132276
30,RMSProp,tanh,10,[0.45436105404132276],0.45436105404132276
52,AdaGrad,prelu,5,[0.45436105404132276],0.45436105404132276
53,AdaGrad,prelu,35,[0.45436105404132276],0.45436105404132276
54,ProximalAdaGrad,relu,10,[0.45436105404132276],0.45436105404132276
55,ProximalAdaGrad,relu,5,[0.45436105404132276],0.45436105404132276
56,ProximalAdaGrad,relu,35,[0.45436105404132276],0.45436105404132276
57,ProximalAdaGrad,linear,10,[0.45436105404132276],0.45436105404132276
69,ProximalAdaGrad,prelu,10,[0.45436105404132276],0.45436105404132276
70,ProximalAdaGrad,prelu,5,[0.45436105404132276],0.45436105404132276
31,RMSProp,tanh,5,[0.45436105404132276],0.45436105404132276
36,AdaGrad,relu,10,[0.45436105404132276],0.45436105404132276
71,ProximalAdaGrad,prelu,35,[0.45436105404132276],0.45436105404132276
22,RMSProp,linear,5,[0.45436105404132276],0.45436105404132276
16,AdaDelta,prelu,5,[0.45436105404132276],0.45436105404132276
18,RMSProp,relu,10,[0.45436105404132276],0.45436105404132276
19,RMSProp,relu,5,[0.45436105404132276],0.45436105404132276
20,RMSProp,relu,35,[0.45436105404132276],0.45436105404132276
17,AdaDelta,prelu,35,[0.45436105404132276],0.45436105404132276
15,AdaDelta,prelu,10,[0.45436105404132276],0.45436105404132276
4,AdaDelta,linear,5,[0.45436105404132276],0.45436105404132276
2,AdaDelta,relu,35,[0.45436105404132276],0.45436105404132276
60,ProximalAdaGrad,softmax,10,[0.3002028369758482],0.3002028369758482
10,AdaDelta,sigmoid,5,[0.3002028369758482],0.3002028369758482
9,AdaDelta,sigmoid,10,[0.3002028369758482],0.3002028369758482
8,AdaDelta,softmax,35,[0.3002028369758482],0.3002028369758482
7,AdaDelta,softmax,5,[0.3002028369758482],0.3002028369758482
6,AdaDelta,softmax,10,[0.3002028369758482],0.3002028369758482
58,ProximalAdaGrad,linear,5,[0.3002028369758482],0.3002028369758482
65,ProximalAdaGrad,sigmoid,35,[0.3002028369758482],0.3002028369758482
64,ProximalAdaGrad,sigmoid,5,[0.3002028369758482],0.3002028369758482
62,ProximalAdaGrad,softmax,35,[0.3002028369758482],0.3002028369758482
63,ProximalAdaGrad,sigmoid,10,[0.3002028369758482],0.3002028369758482
11,AdaDelta,sigmoid,35,[0.3002028369758482],0.3002028369758482
67,ProximalAdaGrad,tanh,5,[0.3002028369758482],0.3002028369758482
66,ProximalAdaGrad,tanh,10,[0.3002028369758482],0.3002028369758482
61,ProximalAdaGrad,softmax,5,[0.3002028369758482],0.3002028369758482
25,RMSProp,softmax,5,[0.3002028369758482],0.3002028369758482
48,AdaGrad,tanh,10,[0.3002028369758482],0.3002028369758482
29,RMSProp,sigmoid,35,[0.3002028369758482],0.3002028369758482
26,RMSProp,softmax,35,[0.3002028369758482],0.3002028369758482
47,AdaGrad,sigmoid,35,[0.3002028369758482],0.3002028369758482
46,AdaGrad,sigmoid,5,[0.3002028369758482],0.3002028369758482
45,AdaGrad,sigmoid,10,[0.3002028369758482],0.3002028369758482
44,AdaGrad,softmax,35,[0.3002028369758482],0.3002028369758482
43,AdaGrad,softmax,5,[0.3002028369758482],0.3002028369758482
42,AdaGrad,softmax,10,[0.3002028369758482],0.3002028369758482
27,RMSProp,sigmoid,10,[0.3002028369758482],0.3002028369758482
40,AdaGrad,linear,5,[0.3002028369758482],0.3002028369758482
39,AdaGrad,linear,10,[0.3002028369758482],0.3002028369758482
21,RMSProp,linear,10,[0.3002028369758482],0.3002028369758482
28,RMSProp,sigmoid,5,[0.3002028369758482],0.3002028369758482
24,RMSProp,softmax,10,[0.3002028369758482],0.3002028369758482
59,ProximalAdaGrad,linear,35,[0.2920892521527428],0.2920892521527428
41,AdaGrad,linear,35,[0.28194726202599174],0.28194726202599174
23,RMSProp,linear,35,[0.2799188644600688],0.2799188644600688
68,ProximalAdaGrad,tanh,35,[0.27180527534494536],0.27180527534494536
13,AdaDelta,tanh,5,[0.2697768734870044],0.2697768734870044
50,AdaGrad,tanh,35,[0.2616632843718809],0.2616632843718809
