,0,1,2,3,accu
4,AdaDelta,tanh,100,[0.4696356269270785],0.4696356269270785
17,AdaGrad,tanh,35,[0.44129554957513384],0.44129554957513384
13,AdaGrad,linear,100,[0.43117409039605487],0.43117409039605487
19,ProximalAdaGrad,linear,100,[0.4089068850042366],0.4089068850042366
22,ProximalAdaGrad,tanh,100,[0.40688259435086116],0.40688259435086116
14,AdaGrad,linear,35,[0.406882592179032],0.406882592179032
9,RMSProp,tanh,1000,[0.4028340066492799],0.4028340066492799
7,RMSProp,linear,100,[0.3906882595919404],0.3906882595919404
8,RMSProp,linear,35,[0.38663967828518947],0.38663967828518947
11,RMSProp,tanh,35,[0.3805668040325767],0.3805668040325767
16,AdaGrad,tanh,100,[0.35627530521226797],0.35627530521226797
12,AdaGrad,linear,1000,[0.34412955646572807],0.34412955646572807
18,ProximalAdaGrad,linear,1000,[0.3400809723838621],0.3400809723838621
2,AdaDelta,linear,35,[0.33805668197180094],0.33805668197180094
3,AdaDelta,tanh,1000,[0.33198380832247404],0.33198380832247404
20,ProximalAdaGrad,linear,35,[0.3259109299675173],0.3259109299675173
0,AdaDelta,linear,1000,[0.29352226678417764],0.29352226678417764
21,ProximalAdaGrad,tanh,1000,[0.2894736868649842],0.2894736868649842
10,RMSProp,tanh,100,[0.289473685718741],0.289473685718741
23,ProximalAdaGrad,tanh,35,[0.28744939150597887],0.28744939150597887
5,AdaDelta,tanh,35,[0.2813765180979663],0.2813765180979663
15,AdaGrad,tanh,1000,[0.27125505867757294],0.27125505867757294
6,RMSProp,linear,1000,[0.2672064767675361],0.2672064767675361
1,AdaDelta,linear,100,[0.24898785135523993],0.24898785135523993
